ts,user,text,is_reply,reactions
03-14 22:50,UKE6DAQMA,In case anyone was interested - this is the Salesforce slide @user mentioned during Town Hall today. Two things that never lie; multi-product SaaS and the 80/20 principle!,,eyesx19 +1::skin-tone-2x6 raised_handsx6 wow-pastelx1 raised_hands::skin-tone-2x2 thank-you-rainbowx2 +1x9 +1::skin-tone-5x1 raised_hands::skin-tone-5x1 +1::skin-tone-4x2 +1::skin-tone-3x1
03-17 18:47,Trina,Hi All - Some employees have reported issues getting into Workday - I am going to report the issue as their current data center status is still green for us. Stay tuned as we hope Workday will get us back online shortly!  :workday-dance: :pray:,,thankyoux17
03-17 20:04,U026F6YJBK6,Workday should be back up now! :workday-party:,True,raised_hands::skin-tone-4x3 thankyoux10 yes-287x1 raised_handsx5 raised_hands::skin-tone-3x1 yayx2 raised_hands::skin-tone-5x1 raised_hands::skin-tone-2x1
03-24 23:52,peter,"Team! What a glorious day to announce our freshest set of data for VC Fund Performance went live this morning. Here's the rundown:

• This report covers fund performance (IRR, TVPI, DPI) for 2,079 US funds using Carta
• Funds from $1M-$1B are included but the main concentration is under $100M
• We broke out the top decile (or 90th percentile, if you prefer) for the first time. So you can really see ""how are the *best* funds performing""
Available for any questions, but please spread the good word widely! :fun: :launch: :corgiparty:",,thankyoux47 firex70 boomx20 peter-facex21 letsgox11 heartx5 blobx7
04-15 17:53,May Shi,Hi everyone. Ethena is currently experiencing an outage. We’ll keep you updated and let you know as soon as it’s resolved. Thanks!,,thankyoux23 ohno6x4
04-15 20:18,U01JCF6H8SX,"Hi everyone, the earlier outage with Ethena has been resolved. You should now be able to log in without any issues.
Thanks for your patience! Let us know if you continue to experience any problems.",True,thankyoux10 ethena_logox3
04-16 19:33,michelle.fox.wiles,Zoom is down for multiple people,,melting_facex8 yesx12 gladiator-hankx1
04-16 19:34,Vincent Parras,[link],True,white_check_markx1
04-16 19:34,Vincent Parras,looks like partial outage on the meetings side,True,
04-16 19:34,michelle.fox.wiles,Even that website won't load for me :sweat_smile:,True,
04-16 19:35,U065MB64B7A,"they are having DNS issues, that explains the slow web page loads :disappointed:",True,
04-16 19:35,Um3r,"*Zoom Partial Outage*
Zoom's official status page is now showing a Partial Outage. If you have meetings and need a workaround, we suggest using the Slack Huddle feature for internal and Google Meet for external. We will share additional details and/or when the outage is resolved.",,thankyou-8741x13 extreme-teamworkx3 +1x1 +1::skin-tone-4x1 gladiator-hankx1
04-16 19:36,Andrew Baklund,"Hi @user I was trying to navigate to create a google meet, but couldn't find the right place - could you assist with navigating? Didn't look like it would let me create a new meeting, opposed to finding an existing invite",True,
04-16 19:36,Andrés,"it did end up working for the last meeting i had, just had to attempt to join like 7 times though",True,
04-16 19:39,Brenna,Trying to set up a google meet for an external meeting but it says I don't have access,True,
04-16 19:45,Ben,It is showing that we do not have access to Google Meet as an approved app,True,
04-16 19:46,Um3r,"Sorry correction, due to legal reasons we have google meets configured to only accept and join external meetings via invite, but not create them. I'm getting confirmation on this, please standby",True,tyx3 eyesx1
04-16 20:09,U057MBJAF16,Update: we've temporarily enabled the full google meet and you should be able to create meetings now!,True,thankyoux6 white_check_markx2 gladiator-hankx1
04-16 20:09,Um3r,[link],True,raised_handsx1 raised_hands::skin-tone-4x1
04-16 20:59,U057MBJAF16,Update: Zoom has implemented a fix and service should be restored to normal,True,thankyoux13 celebratex3 +1::skin-tone-3x1 gladiator-hankx1
04-17 22:40,U057MBJAF16,"*Update: Zoom Outage &amp; Retaining Google Meet*
Hi everyone, a few important things we want you to be aware of following yesterday's global Zoom outage:
• In response to yesterday's multi-hour Zoom outage and after internal review, we enabled Google Meet as a backup video conferencing solution. We have decided to make this change permanent and retain Google Meet as a back up for video conferencing in the event of future Zoom outages.
• In accordance with making this change, yesterday, we set Google Meet to be the default option for events in Google Calendar. The team will revert Zoom back to being the default auto selected video conferencing option in Google Calendar later today and it might take some time for the change to propagate across the organization so we appreciate your patience. In the meantime, if you would like to schedule an event with a Zoom Meeting, you can do so by selecting Zoom in the drop down menu under the video conferencing option on the event creation page as shown in the screenshot below.
• Moving forward Zoom will continue to be our default video conferencing application but Google Meet will continue to be available as an option in the drop down menu upon new event creation in Google Calendar.
Questions? Please reach out in #helpdesk-it",,white_check_markx10 thankyoux51 +1x3
04-18 00:01,Stephanie,<!subteam^S05AV93PCV6|@core-smb-aes> <!subteam^S0217989T4M|@core_new_mm_ae> <!subteam^S07HMV2K4CC|@core_llc_sales>,True,
04-22 17:15,U06UG4F8MT7,"Hey team! We're excited to share the PE Executive Equity Report, a new insights publication covering types of equity, grant sizes, vesting schedules, and performance conditions for grants issued to management teams and execs at PE-backed companies

Wanted to thank everyone who made this possible, especially @user, @user, @user, @user, and @user!

Help us spread the word! We'll also be covering the findings in a Carta webinar on 5/1, so you can share this registration link with relevant audiences",,chart-increasingx48 100x23 rocket_intensifiesx20 thankyoux5 i_heart_private_equityx4
04-22 18:37,Flora,"Really exciting report! Thank you for the hard work that went into it. I already brought it up with a PE lawyer today and find this gives us really good ammo. 

Thank you so much for creating this and helping us with our mission :raised_hands::skin-tone-2: 

Congrats!",True,heartx2
04-22 20:13,Christina Cheledinas,GO TEAM!,True,raised_handsx1
04-22 21:55,Ray Shan,@user,True,eyesx1
04-23 18:58,henry,so cool!!!! I love iT!,True,orange_heartx2
04-24 21:30,Ashley Neville,Awesome job @user !,True,thankyoux1
05-02 17:46,Jess,"Happy Friday, everyone! :partying_face:

Mother’s Day (U.S.) is right around the corner. We're putting together a special social media tribute and would love for YOU to be a part of it. Pick your adventure:

:woman-girl-boy: *Option 1: Share memorable career advice from your mom + a photo of you two (throwback pics welcome!)*
:man-girl: *Option 2: Share advice you’ve given (or plan to give) your kid(s) + a photo of you together*

:camera_with_flash: This is your chance to spotlight the amazing moms and mentors in our lives—and show off some adorable family pics while you’re at it.

:hourglass_flowing_sand: Deadline: *EOD Wednesday, May 7, 2025*
:mailbox_with_mail: Submission form: [link]

Let’s make this a memorable one! :bouquet:",,heartx27 momtattoox11 heart_eyesx7
05-09 23:19,U02FWFX0886,"Happy Friday! Shout out to everyone who submitted for the Mother's Day social posts. We've posted on LinkedIn and TikTok so far. *We'll do a 2nd post on TikTok and an Instagram post on Sunday as well so keep an eye out for those.*

In the meantime, click through and give some :heart: to these posts featuring some phenomenal Cartans with some next-level mom advice.

LinkedIn
TikTok",True,heartx27
05-11 13:00,peter,":blob-wave: Hey Cartans - have you ever wanted to be a better public speaker? You're in luck. Come hang for 45 minutes on May 22nd at 10am PT and learn about:

• Tips for onstage (or on Zoom) presentations
• Speaking games that will improve your daily conversation
• Tons of resources to up-level your speaking on your own time
AI may write our code, but it can't do small talk. And much of life is small talk :corgiparty-3379:

We hosted a similar session last summer but we will have some updated content for those of you who'd like to run it back.

React to this post with an emoji to be added to the Zoom invite. *Please only react with one emoji* :blob_pray:",,raised_handsx154 yay-frogx41 thisx17 dancer::skin-tone-3x3 dancerx10 speaking_head_in_silhouettex8 yesx26 raised_hands::skin-tone-2x25 raised_hands::skin-tone-5x7 mex16 cat-roomba-exceptionally-fastx10 bongo_catx5 cat-jamx6 letsgox8 +1::skin-tone-2x2 excitex4 penguinx4 raised_hands::skin-tone-3x19 penguin-dancex5 +1x7 bart-dancex4 raised_hands::skin-tone-4x13 broccolix3 prayx3 hellox1 dancer::skin-tone-4x4 +1::skin-tone-4x1 fluminensex2 poof-starx3 tadax3 party-blobx6 dancer::skin-tone-2x1 megax1 party_whalex3 hedgehog2x1 alligator-agreedx2 microphonex1 peter-facex1 nail_carex1 mindblownx1 glow_sticksx1 mic_drop_boomx1 blob-wavex1 boom_goes_the_carrotx2 superherox1 oh_yeahx1 badgerbadgerx1 speechlessx1 carmen-excitedx1 frog-on-fire-but-still-excitedx1 male_geniex1 cookie_nomx1 star-struckx3 carta-intensifiesx1 corgipartyx1
05-11 13:08,lucas.moreira,Hi Peter! Will this meeting be recorded? I have a medical exam during this time but I am interested in watching it! :slightly_smiling_face:,True,yes-287x1
05-11 13:09,peter,"For sure, Lucas, we'll definitely record it",True,thankyoux4 ok_hand::skin-tone-3x1
05-11 15:51,henry,Highly recommend!!!,True,prayx2 pray::skin-tone-3x1
05-12 17:25,max,<!subteam^S061LLVQYRH|@inbound-sdrs>!!!!!!,True,tycartax3
05-12 20:17,Vinay Singh,+1,True,
05-12 20:45,jessica.larson,<!subteam^S0AVB79HERF|@global-venture-companies-sales>,True,thankyoux7
05-14 17:13,cesar,"is it too late to join
:palm_down_hand:
:microphone:",True,laugh-cryx1
05-14 17:16,peter,22nd* mon frère,True,luigi_dancex2
05-20 17:13,anushweta,"Hey @user This is so great! 

Is it too late to be added to the call? OOO next week but would love to watch back on chorus / recorded version. Thank you so much",True,white_check_markx1
05-20 18:06,peter,adding!,True,thankyou-8741x1
05-20 18:46,molly.kind-rubin,"This is awesome, thanks Peter! Bummed to be missing it!",True,
05-20 23:13,Angus Kilian,This is a great idea @user and no one better to learn from than you! Could you record it for those in timezones who can't make it?,True,plus1x2
05-21 18:47,peter,"Yes, will definitely record!",True,thankyoux2
05-21 19:49,Shayne,"Reposting from last year. Happy Memorial Day Week everyone!

“_We must dare to be great; and we must realize that greatness is the fruit of toil and sacrifice and high courage_.”- _Theodore Roosevelt_

Amongst a weekend full of parades, barbecues, and gatherings of all kinds, it is important to take a moment and reflect on what the Memorial Day holiday represents. We honor the Veterans in our lives every November and often during the year at various events. However, this holiday is meant to be a tribute to those service members and patriots that are no longer with us today because of their drive to preserve the freedoms that we have become so accustomed to, leading to their ultimate sacrifice.

My hope is that all of us can take a moment during this long weekend in remembrance for fallen heroes and the sacrifices it takes to preserve our way of life.  Not only does it take bravery to rush into the face of danger for the sake of the greater good, but it also takes an even greater amount of selfless love. Love for family, country, fellow troops, and future generations. This is the love that I hope we can all resonate with, remember, and celebrate.

_“There is no greater love than to lay down one’s life for one’s friends.” John 15:13_

On behalf of the Veteran’s ERG, we hope you enjoy your time with your loved ones and have a wonderful and safe holiday weekend!",,heartx68 reminder_ribbonx30 flag-umx44 thankyoux12
05-22 17:48,ash,"Thanks so much for putting on that talk Peter- I think you made a lot of friends by wrapping up that meeting early :smile:

I have been doing Improv sessions for the sales teams in the SF office for over a year now and it is great practice for speaking better/thinking on your feet (and also just a ton of fun).

Just thought I would put it out there in case any other teams are interested, feel free to send me a DM, I'd love to chat! :bigbrain:",True,+onex5 fire3x6
05-22 17:53,peter,Love that! I did improv for awhile in high school and college and I think the learnings there are so foundational to the work I do now,True,prayx1 plusx1 blue_heartx1
05-22 18:03,Rachel Mayes,So sad to have missed this! @user let us know if there is another one. Would love to have my team attend :highfive:,True,raised_handsx1
05-22 18:04,peter,Can do a private one for you Rachel :slightly_smiling_face:,True,raised_handsx1 blue_heartx1
05-22 18:36,peter,"Thanks for a great session team! You can find the recording here and the slides here. Happy speaking, and pls forgive my scratchy voice :blob_pray:",True,thankyoux5
06-04 14:24,Paty Escobar,Hi @user and team - circling back here as I noticed that Google Meet remains the default setting and sometimes when we use Mixmax to book meetings the link for the Google Meet supersedes our Zoom Preferences. Is this something that is going to be changed soon? Thanks in advance!,True,plus1x1 thisx1
06-04 15:59,U057MBJAF16,"Hi @user if Google Meet remains the default setting in google cal, you likely need to clear cache and site settings and sign back in. In regards to Mixmax, please confirm the zoom integration is active under your account and also check some of the other settings highlighted on this page:

[link]",True,thankyoux1
06-09 16:09,hamza.shad,"A belated Eid Mubarak from the Muslims@Carta employee resource group (ERG)! :star-and-crescent_muslim_eid:

P.S. If you'd like to join the community, please join our Slack channel #muslim-at-carta!",,star-and-crescent_muslim_eidx60 heartx43 green_heartx22 black_heartx13 palms_up_togetherx6 palms_up_together::skin-tone-2x3 palms_up_together::skin-tone-3x5 palms_up_together::skin-tone-4x2 prayx1 pray::skin-tone-3x2
06-11 22:50,Jess,"Hi, everyone! :partying_face:

Father’s Day (U.S.) is right around the corner. We're putting together a special social media tribute and would love for you to be a part of it. Pick your adventure:

:family: *Option 1: Share memorable career advice from your dad + a photo of you two (throwback pics welcome!)*
:man-girl: *Option 2: Share advice you’ve given (or plan to give) your kid(s) + a photo of you together*

:camera_with_flash: This is your chance to spotlight the amazing dads and mentors in our lives—and show off some adorable family pics while you’re at it.

:hourglass_flowing_sand: Deadline: *10am PT Friday, June 13, 2025*
:mailbox_with_mail: Submission form: [link]

I can't wait to see your submissions!",,blue_heartx18
06-12 00:28,Christy Patterson,@user @user @user @user,True,heartx5 frog-okayx2
06-12 17:58,May Shi,":mega: Hi Cartans,
*Heads up*: Access to *Guru will end on Tuesday, June 17 at 5 PM PST*. We’ve reserved an extra day as a buffer to cross-check everything before the contract officially expires.

After June 17, you’ll no longer be able to access or search Guru content, and Guru results will no longer appear in Glean.

Most essential content has already been migrated to Google Drive and is now fully searchable in Glean — your new go-to tool for finding knowledge across platforms like Drive, Slack, Jira, and more.

:question: If you have any questions, feel free to slack #guru_migration-questions. Thanks!",,thankyoux11 byex2
06-12 19:12,Bailey,":it-alert-red: *IT Alert: Multiple major outages -* 

*What’s happening?* As of 12:05pm PT, we learned that several SaaS products are currently experiencing outages connected to Google Cloud being down.

:it-alert-red: *Do not disconnect from WARP, as you will not be able to reconnect!* :it-alert-red: 

*What’s impacted?* 

• Cloudflare
• Docker
• WorkOS
• NPM
• Windsurf
• Google Cloud
• Box
• GitHub (Copilot, Actions)
• This will be updated as more services announce their disruption
*What we’re doing about it:*
• We're actively monitoring the situation. You can follow along on this status post. (Please do not submit a ticket to #it-helpdesk since we are already actively working on a resolution.)
• We'll share updates in this thread as we get more information and/or to confirm when the issue is resolved.",,thankyoux29 big-ohnox20
06-24 16:47,Hilary,":us: Hi U.S. Cartans - a reminder that *bi-weekly payroll goes live Tuesday July 1st.*  A Pyn was sent yesterday (June 23rd) with details and resources on the transition, please review and submit a Jira ticket if you need any assistance.",,thankyoux18
06-27 18:36,Oliver,"*Lunch &amp; Snack Survey*
ACTION REQUESTED :bow::skin-tone-4:

Hello Everyone! :keroppi-wave:
If you’re an in-office Cartan, please take a moment to read the following!

Thank you to everyone who’s already responded to our latest survey. We’d love to get more responses so we can continue to curate a snack and catering program that serves you and reflects each office’s tastes and culture.  :searching-bun-food: We’re always looking for ways to improve, and we’d love to hear your thoughts.

*And here’s a little extra incentive*: rumor has it, those who participate might find their office in the running for a tasty surprise. Let’s just say, there could be bragging rights—and maybe even a little something to savor—for those who make their voices heard. Will your office lead the pack?

:survey_checklist: *We’ve extended the deadline to July 4.* As always, your responses are anonymous, and we appreciate your honest feedback.
:greater-than_flashing: You can find the survey here! :less-than_flashing:

Thanks in advance for your participation! :star2:",,cookie_nomx14 yayx5 white_check_markx8 done-2x1
07-01 16:50,maxine.edwards,"Hi Cartans - Gentle reminder following up from the June 12 Pyn message

Carta’s whistleblower platform is now *Speakfully*,  available resources include.
• *Internal Reporting Policy* 
• *Platform overview* 
If further clarification is needed on the use and features, please reach out to your HRBP and/or  <mailto:employeerelations@carta.com|Employee Relations>",,+1x6 thankyoux8 +1::skin-tone-5x1 raised_hands::skin-tone-5x1 raised_handsx3 +1::skin-tone-3x1 +1::skin-tone-4x1 raised_hands::skin-tone-4x1 +1::skin-tone-2x1
07-01 22:49,peter,":speaking_head_in_silhouette:  Hey Cartans - have you ever wanted to be a better public speaker? You're in luck. Come hang for 45 minutes on July 18th at 1pm PT and learn about:

• Tactical tips for onstage (or on Zoom) presentations
• Speaking games that will improve your daily conversation
• Tons of resources to uplevel your speaking on your own time
Speak better, live happy :corgiparty-3379:

React to this post with an emoji to be added to the Zoom invite (*don't use the parrot, too many ppl used the parrot*)— and share with other Cartans! :speak_no_evil:",,parrot_2x136 peter-facex58 letsgox55 hand::skin-tone-4x19 handx67 hand::skin-tone-2x15 hand::skin-tone-5x8 raiseyourhantx21 hand::skin-tone-3x18 broccolix8 littlebiax2 corgi_wavex4 megax6 me-2x7 mermaid-breadx1 woman-raising-hand::skin-tone-3x1 hamsterdancex1 gerx1 thankyoux3 wonderwomanx1 i_heart_private_equityx2 here's_jenniex1 woman-raising-hand::skin-tone-4x1
07-01 22:54,peter,"In case I missed adding you to the invite - here's the zoom link that will go live at 1pm PT, July 18:
[link]",True,raised_handsx2 raised_hands::skin-tone-2x1
07-01 23:15,Andrew Radant,@user any chance this could be recorded for those of us on mto that day? :sweat_smile:,True,
07-01 23:16,peter,"No chance :smirk: yes, will definitely record it!",True,thankyoux8 joyx2 celebrationx4 +1x3
07-02 14:04,Michael Valdez,This is fantastic! Thanks @user :blob_pray: I'm looking forward to it.,True,prayx1
07-02 14:16,Ava Sholl,What a great initiative!! To learn from the best in the biz @user presenter extraordinaire!!,True,prayx1 pray::skin-tone-4x1
07-02 14:26,mariparisi,So excited for this!,True,prayx1
07-02 15:22,Ger,Peter’s own toastmasters!!!!,True,truex2 prayx2 thisx2
07-07 04:30,Ruchita Chandhok,wow! I cant wait for this.,True,
07-07 15:35,caroline.pereira,Thank you for this initiative! Great skill to improve!,True,
07-08 13:30,U02FWFX0886,"Our favorite month of the year is in full swing — it's Work From ~Anywhere~ July! Whether you’re working beachside with your kiddos for their summer break, logging in from your back porch, cozied up with your doggo in a mountain cabin, or just treating yourself to tasty pastries at your hometown café — we want to see it all! :heart_eyes::computer::doughnut:

The Social Media and Employer Brand teams are putting together a fun feature for Carta Socials to celebrate you and your globe-trotting adventures or quality family time that WFH allows you to experience.

Interested in getting involved? Fill out this form. Details below.

:camera_with_flash: *Option 1: Show us your unique view* (low lift - just one photo!)
Snap a photo of your laptop open (make sure no customer info is visible!) with a scenic background + a local snack, treat, or non-alcoholic drink in the frame (bonus points for creativity :palm_tree::bubble_tea::mount_fuji:); and tell us where in the world you are.
_**see attached for a little inspo_ :wink:

:sparkles: *Option 2: Give us more details.* Send us:
- Additional photo(s) showcasing how you're spending your WFH July ""off hours"" — time with family, trying new restaurants, hiking trails, hammock-napping... you name it!
- A short blurb sharing:
   :one: What you love about WFH July
   :two: How you’re spending it (your photos will help paint the picture!)",,heartx43 laptop_parrotx23
07-08 17:43,Dan Fike,"If I'll be in different places on different weeks in July, should I just submit the form multiple times?",True,
07-08 18:36,Jess,"yes, or wait until you reach your final location and submit everything (or your favorite spots) at once",True,
07-08 20:35,Ruchita Chandhok,"*Hey Cartans,*  :wave1parrot:

*Exciting Prep Series for the upcoming Hackathon: n8n Fundamentals, Setup, and Basic Integrations!*

@user and I are thrilled to invite you to an upcoming session that promises to add a powerful tool to your hackathon toolkit! Come explore *n8n, a versatile workflow automation* *platform* that you can use to streamline processes and enhance efficiency in your projects. Whether you're a beginner or looking to expand your skills, this session will offer hands-on insights to take your work to the next level.

*Why Join Us?*
• Harness n8n's Potential: By mastering its intuitive interface and core features, you'll be equipped to tackle projects more efficiently.
• Spark Innovation: Get fresh ideas on designing solutions that can make a real impact in your role at Carta.
• Enhance Your Skills: Learn about essential workflow components and practical integrations to elevate your projects.
*Session Highlights:*
• Introduction to n8n and its features
• Key concepts and a step-by-step look at the interface
• Hands-on with workflow essentials: nodes, triggers, actions
• Practical applications with popular integrations like Slack and Jira
*Next steps:*
• Details to follow for training sessions scheduled for July 11th, 18th and 25th.
This isn't just an opportunity to learn—it's a chance to collaborate, innovate, and transform your approach to project development. We hope to see you there, ready to dive into the possibilities of n8n. Don't miss out!

Please feel free to ask any questions in #q3-2025-hackathon

Looking forward to an engaging session with all of you!
cc: @user @user",,yay-frogx22 raised_hands::skin-tone-3x6 raised_hands::skin-tone-2x4 raised_handsx8 raised_hands::skin-tone-5x2 raised_hands::skin-tone-4x2
07-09 04:07,Marvin Coleby,Super excited for this! In case we can't make it because of the time zone - will these sessions be recorded?,True,
07-09 04:43,Ruchita Chandhok,Yes definitely. We will share the recordings in #q3-2025-hackathon channel,True,
07-09 06:06,Marvin Coleby,Great!,True,
07-09 17:57,U02RX481G9M,"Hey Cartans, happy Wednesday! :glow_sticks:

*Thank you for joining us during S&amp;T! Also wanted to share here that our Q3 2025 Hackathon is happening soon, between July 28 - July 31.* Come join us in our #q3-2025-hackathon channel, where we'll share all announcements, session recordings, ideas, comments, and so much more!

Please see below a quick summary of everything that's happening (more events coming your way soon) and check out our deck here for the full info:

:mega: *Q3 2025 HACKATHON EVENTS* :mega:
1. *N8N fundamentals, setup and basic integrations |* _Friday, July 11 @ 12pm PST / 3pm EST / 4pm RIO (1 hr)_
2. *Building Carta-specific examples using N8N AI agents |* _Friday, July 18 @ 12PM PST/ 3PM EST / 4PM RIO (1 hr)_
3. *N8N office hours |* _Friday, July 25 @ 12PM PST/ 3PM EST / 4PM RIO (1 hr)_
4. *Hackathon pitch session (sign-up sheet)* | _Monday, July 28 @ 12PM PST / 3PM EST / 4PM RIO (1 hr)_
5. *Hackathon dates |* _Tuesday, July 29 - Wednesday, July 30_
6. *Hackathon live demos |* _Thursday, July 31 @ 9AM PST / 12PM EST / 1PM RIO (2 hrs)_
    a. Please keep presentations to 3 minutes each!
Don't forget to accept all your calendar invites and join us! All sessions will be recorded and shared in our #q3-2025-hackathon channel. Thank you all! :blob_pray:",,rocketx16 excitex1
07-11 18:30,Angel Novillo,":n8n: *First N8N session starting in 30 mins: N8N Fundamentals, Setup &amp; Basic Integrations* :n8n:
_Friday, July 11 @ 12pm PST / 3pm EST / 4pm RIO (1 hr)._

*Hey Cartans - don't forget to join our first n8n session happening in 30 mins!* n8n is a brand new tool that will be deployed just in time for our hackathon, which allows users to design and run an AI agent in their browser, give it access to a vast array of tools/context, and hand work off between agents in a seemless manner. It's ground-breaking!

*Brief agenda for our session:*
1. Intro to learning sessions and n8n
    a. Core concepts
    b. Interface basics
2. Dive into workflow building elements
    a. Nodes
    b. Triggers
    c. Actions
    d. Conditional logic
    e. Error handling
    f. Slack/Jira integrations
    g. Using fake data
After this session, our participants will be able to understand n8n’s interface, core components, and get inspired on experiences they could be designing relevant to their Carta role!

The session will be recorded and shared in our #q3-2025-hackathon channel and this :thread: for viz. Thank you all!",,eyesx2 thankyoux3 firex7
07-11 18:41,U04B326LL67,Looking forward to seeing you all later today! :cool-doge:,True,
07-11 23:00,Angel Novillo,"Hey team!

Sharing our recording here as promised (Passcode: fb9T%Kt5). Thank you all!",True,
07-15 17:33,Nitin Dhar,":n8n: *N8N Session 2 — Geared towards ALL Cartans* :n8n:
_Today, 12pm PST / 3pm EST / 4pm RIO (1 hr)_

*Hey Cartans, please come join us for the N8N training session happening in ~1.5 hours!* Today's session (led by @user :muscle:) will be less technical than the first one and be geared towards ALL Cartans. This session provides an early glimpse, so you can start brainstorming its potential uses for your hackathon idea.

As a recap, N8N is a tool that simplifies building custom automations without requiring coding knowledge. Imagine it as a series of cause-and-effect actions with intuitive flowcharts called ""Workflows,"" comparable to tools like Zapier, but _empowered with AI integration_.

*Brief Agenda for our session:*
• Overview of the canvas
• Overview of triggers
• Simple Trigger and Slack Message
• A more complicated flow (if/switch logic)
• Subworkflows
• AI Agent:
As before, the session will be recorded and shared in our #q3-2025-hackathon channel and this :thread: for viz. Thank you all!",,blobx8 thank-youx3
07-16 13:23,Angel Novillo,"Hey team! Please find the recording below:

• Recording
• Passcode: BeSYkx^2
Thank you all! :pray::skin-tone-3:",True,thankyoux1
07-18 17:00,U02FWFX0886,We've had some GREAT laptop pics come through from WFH July! :sparkles: There's still time to submit. Send yours via this form and you just may see it on Carta Socials :star-struck:,True,raised_hands::skin-tone-2x2 firex10 letsgox5 loveitx4 raised_handsx6 raised_hands::skin-tone-4x1
07-18 17:51,Nitin Dhar,":n8n: *N8N Session 3 — Carta-specific examples using N8N* :n8n:
_Today, 12pm PST / 3pm EST / 4pm RIO (1 hr)_

*Today's N8N training session is happening in ~1 hour* and will be led by @user :cool-doge: who has an action-packed agenda for us.

*Agenda for today's session* _(time permitting)_
1. Watch a pre-built agentic sales workflow funnel (featuring Gmail, AI classifier, AI agent, Google Sheets, Slack).
2. Help Mark fix a workflow (audience participation)
3. Build a new workflow together (audience participation)
To get the most out of it, please set up your n8n environment in advance and be ready to participate (Mark might call on the audience)

As before, the session will also be recorded and shared in our #q3-2025-hackathon channel and this :thread: for viz. Thank you all!",,thankyoux7
