u,t,m
276,2025-12-03 01:00,"Howdy folks! Thank you all for joining today's session, i know the material was dense but tomorrow we're focused on lab work to put into practice all the tooling today! , we're trying to get teams to share the tools or claude.md files they work on tomorrow and teams are based on our own team structure. If nobody volunteers, can i pick on any of your teams to share?"
105,2025-12-03 02:34,Yes of course!
184,2025-12-03 03:18,Yes please
184,2025-12-03 03:19,A bunch of people shared their skills etc here too — <
995,2025-12-03 14:23,Go for it.. I can give MAtheus and Hernan a heads up so they are prepared
257,2025-12-09 17:45,"and I have a conflict today for the ""Middle Office — Vibe code planning"". , are we able to defer it to 12:30pm ~ 12:45pm."
995,2025-12-09 18:06,"I too have a conflict, wont be able to make it today.."
184,2025-12-09 19:39,"Lots of people aren't able to attend, and it looks like I actually have a conflict too. Let's do this async?"
257,2025-12-09 20:37,any thoughts on what we want to do this week?
184,2025-12-09 20:44,Vibe champions^
942,2025-12-09 21:00,"I had a sync with my team on Monday and everyone expressed concern about there being too much presentation material/general discussion without having specific goals resulting in PRs. Some specific goals (not exhaustive) might be: • Addressing some tech debt by refactoring • Solving sentry alerts • Vibe coding new features What I also heard was a strong desire to have more focus time as a team (likely domain specific) to focus on above specific goals. I'm wondering if it makes sense to use the Friday slot for addressing team specific goals? Here, each team will have their respective EM/AI Champion lead the team's activity (held in their respective zooms). The expectation is for team to produce PRs/eventually merged and demos to showcase the impact. The demos should include how AI tools were used to solve the problems and can be done the following week."
266,2025-12-10 12:47,"will have a presentation on spec-driven development, but I don't know if many engineers inside middle-office join that meeting. Maybe we could present something like that too? Or do what said but following spec-driven development or focusing on another topic"
257,2025-12-10 12:56,"Thank you for sharing and . If you all agree, let’s do the spec driven development for Friday. Then break out per team to try it out and come back and do a show and tell for the same? How does that sound."
276,2025-12-10 14:15,"Not for this friday, but could be cool in the future to do a college-style hackathon where the goal is to take a ""dream feature"" for a product each team currently has and just vibes their way through it. Instead of a 2-day learn and labs session, just a 2-day labs session. Each team must mandatorily present (can pre-designate folks). So Since a common thought that's been shared is that we're spending time on AI without there being a tangible takeaway, this might help bridge the gap for product and dev"
266,2025-12-10 14:51,"I like the idea, my only concern is if people would take this seriously"
276,2025-12-10 14:54,I think it'd need to be communicated from leadership and be meeting-free days focused on this alone
257,2025-12-11 18:25,", are you good to present tomorrow ?"
266,2025-12-11 18:28,Do we wanna go with the spec driven development approach? Honestly I don't have much experience on that but I can figure it out today
257,2025-12-11 18:35,Thank you. would you know who did/planning to do the presentation for the . we could ask them. wdyt
266,2025-12-11 18:35,"Yeah, its . Just talked to him in the office, he will share his presentation with me later today"
942,2025-12-11 19:14,Or we could just have everyone attend the guild-ai talk?
266,2025-12-11 19:16,That works too - and people could work on their team specific goals in our vibe-coding session as Tzuan had mentioned
266,2025-12-11 22:32,What do you think ?
257,2025-12-11 22:41,Lets have him come tomorrow to the Middle Office Vibe coding session. We then need to break out into each EM session. Would be helpful for each of the EMs to prepare a problem statement ahead of time? cc:
184,2025-12-11 22:45,Yeah that sounds good. can you coordinate for val? I’m ooo tomorrow
942,2025-12-11 22:51,will be doing the same talk at guild-ai so I'll ask him to give middle-office a more condensed version. That way teams can have more time to apply the learnings into their respective spec driven tasks.
184,2025-12-11 22:53,"Can we have the session tomorrow be to make progress, and the “present your progress” be next week’s session? Just thinking that 1 hour is a very short amt of time"
942,2025-12-12 00:05,"ok, I just confirmed with that he'll give a 10 mins condensed version of guild-ai talk. After which, can break us out into our various teams to work on our respective tasks."
1754,2025-12-12 15:58,some members of the Investor reporting team might need to leave the session early as we have our coop presenting at Coop show and tell today
257,2025-12-12 17:02,Thats actually better to have them present it all next week.
257,2025-12-12 19:43,"Not sure, who is the host of this meeting? Can you please make me the host"
105,2025-12-12 19:48,I think it's
257,2025-12-12 19:48,is there a way to change it? We need to breakout into rooms
105,2025-12-12 19:49,For breakout rooms we could just create new Zooms per team
105,2025-12-12 19:49,We did that for the Eng AI Training
942,2025-12-12 23:50,Hi I wanted to alert you that the first 2 recordings on the < vibecode sheet> no longer exist. I'm not sure who has access to the recordings but you might be able to still save them from being permanently deleted < Can you please check?
942,2025-12-12 23:50,They'll need to be downloaded onto google drive
1754,2025-12-15 18:58,Do we have the one for Friday?
184,2025-12-15 20:15,"I think zoom recordings expire after 30 days, so if we want to keep them we need to download into Google drive"
276,2025-12-15 22:46,"Howdy folks, does anyone know of all the different Vibe Coding sessions at carta? I need to consolidate them for a doc. The ones i know about are: • Middle Office • FA others?"
184,2025-12-15 23:25,Asset management runs one (Walid/Andre)
942,2025-12-16 15:50,Unfortunately not because only the host can record.
942,2025-12-16 15:52,can you please check your < trash bin>? You might be able to save the first 2 vibe code recordings for MO.
1754,2025-12-16 17:34,Investor Reporting does one as well
276,2025-12-16 17:50,do you know who are the admins for that session?
276,2025-12-16 17:53,Thomas just shared a doc for all the vibe coding session for the diff pillars: <
1754,2025-12-16 18:20,"For the spec driven development, if we find that there are some things that weren’t implemented by claude, should we go back to edit/modify the spec and then go through the workflow again or do we just prompt claude to implement follow-up changes?"
276,2025-12-16 18:25,"I think it's better to have the missed features added to the initial spec. Pattern that the val team followed for example was: 1. spend x amount of time iterating on a plan initially with claude a. depending on the complexity of the feature, could take multiple days of revision b. tasks are broken down with claude while making sure claude keeps context in mind so most tasks are fairly isolated and self contained 2. get the plan reviewed by peers and merged into CW codebase (example can be found < 3. ask claude to implement plan (little to no intervention since plan has been reviewed by multiple people)"
1754,2025-12-16 18:27,"Even with the plan reviewed by multiple people, we still found it missed some things on Figma. We are working on a FE project. I think it makes sense to go back on iterate on the plan. will try that and report back"
276,2025-12-16 18:28,Anthropic recently released their own production plugins in their marketplace: <
276,2025-12-16 18:28,one of them is a frontend-design plugin that might come in handy!
276,2025-12-16 18:29,Would recommend installing the official anthropic plugin marketplace which has been recently updated with many prod-level plugins and tools: `/plugin marketplace add anthropics/claude-code`
276,2025-12-16 19:09,Shall we cancel planning today since we're scheduled for demos this week?
184,2025-12-16 19:11,"Yes, we already have a plan for this week"
184,2025-12-19 21:23,do you mind removing the vibe coding sessions for the next 2 weeks? We'll come back in the new year
257,2025-12-19 21:27,its done already
257,2025-12-19 21:27,should I remove the two Jan as well?
184,2025-12-19 21:28,"Ah, perfect. Had not noticed. Thanks"
995,2026-01-10 18:09,"Yeah, I was in the meeting when HW mentioned this.. Henry mentioned we (CW group) can wait couple of week while Dowdell works on getting it ready for carta-web.."
276,2026-01-10 18:10,is this a specific AI related topic or just async in python?
995,2026-01-10 18:20,"It is not AI related topic, it is mostly Async IO topic.. Henry liked how we (R&D org) took on the Vibe coding as community - learning and coding session and now everyone is doing vibe coding. Similar to this, he wants every to start adopting Async IO... best way to do that is learn and practice in those session.. tl;dr as Dan mentioned, we might rename these session to Share and Learn Session or something.."
276,2026-01-12 21:14,I think we need to grab one of the engineers from CES to come and do this presentation. It seems there's a clear vision for what that session should look like already. I can join the FA one tomorrow and take some notes in the meanwhile!
184,2026-01-12 21:15,I already chatted with . He can come do an intro for us
995,2026-01-12 21:16,"for CW , there is some work before we can start using AsyncIO"
276,2026-01-12 21:16,Yep i think according to dan's message that Dowdell is working on setting that up in CW
77,2026-01-13 16:50,that's great news! excited to try
276,2026-01-13 20:26,Gastown git repo: <
266,2026-01-13 20:28,showed me earlier today this in action -
105,2026-01-13 20:31,Our team has started using it with promising results
77,2026-01-14 00:07,How about setting up an early session with this middle office group before we start including it on the GA sessions? I'd love to watch and try and would help us get readier sooner
266,2026-01-14 16:47,"That's a good idea. I've been using it today for the Knockout refactor - it increases the cost A LOT. It's been running for 1.5 hours and has already spent $150 (according to ccusage; probably less than that, but still a high value - Claude's built-in cost tracker doesn't seem to work with it, not sure why) - I don't know how much would've been spent without it tho. Also, it looks like it can accomplish the same task multiple times, with only one attempt being ""chosen"" at the end. But it's still early days, so I believe it will be improved"
266,2026-01-14 16:48,"It's really cool tho to see the mayor orchestrating many different tasks lol, with some improvements I believe this is how we are gonna work in the future"
77,2026-01-14 17:07,"love hearing that! i imagine with more layers and orchestration the token cost will increase VERY fast same with Claude, once we understand more we can get more efficient with token usage -- hopefully"
77,2026-01-14 17:07,"if y'all are down i'd love to hear more and spend time together, even if we keep it small"
257,2026-01-14 18:37,has already been testing Gas Town extensively and will be taking us through it next Friday! Thank you for championing this.
74,2026-01-14 18:41,"I've been using this and it works well for me. I think the idea the creator gives in the medium post is great, If you find yourself struggling to manage different claude tabs, that's when u should use Gastown. I've talked to about doing a short presentation about it Friday 23rd. But if anyone wants me to show it, we can hop on a zoom anytime!"
74,2026-01-14 18:43,"one thing that I felt it works well and if you're also using, try a bit and let me know. Is to kinda roleplay with this mayor/town theme. I feel since those claude agents have specific roles and they are directly named as MAYOR for example, they responded better when I was roleplaying"
266,2026-01-14 18:44,"lol that makes sense, and the names the creator chose are awesome haha"
266,2026-01-14 18:45,"I am using it for the Knockout refactor, and it has already put up two PRs that looks good - all of that with almost no human intervention. Only issue was it didn't use ink components/openAPI specs but I guess that's something that should've come from the planning part. Maybe having some kind of spec driven development + gas town would be insane"
266,2026-01-14 18:47,is also an early adopter in case you guys wanna discuss it further
266,2026-01-14 21:10,my Gastown usage from today
77,2026-01-14 21:37,oh shit! are you using Opus for the most part?
266,2026-01-14 21:42,"Actually no! When it spawns its workers, they use Sonnt by default"
77,2026-01-14 21:46,that's even more token usage then!
257,2026-01-20 20:23,"Notes from todays planning - • January 23rd session - will connect with to have a session for ""Claude Flow"" • January 30th session - / will also work with to plan a session for ""Gastown"""
995,2026-01-21 20:38,"Latest on this, for ClaudeFlow may not be ready/recommendable yet... Cody is having issues making it work. For GasTown, Matheus will not be available since he is taking a flight. He can share some slides and video for folks to use. Given this case, we might need a back up for this friday."
184,2026-01-21 20:40,Some options • Have folks play with *async python* locally • Continue knocking down knockoutjs
266,2026-01-21 20:41,I am preparing a Setup doc and a few slides + recording discussing GasTown
266,2026-01-21 20:42,"I can check with if he can help with questions/going through the recording/setup, he’s been playing with GasTown too"
995,2026-01-21 20:48,sounds good.. lets catch up tomo and plan what we can do.. i think we can show case something to the team on gas town.. set up and working between 3/4 of us
266,2026-01-21 21:07,Maybe a crazy idea but what if we work on creating a command/skill/plan that turns a sync API call into async?
266,2026-01-21 21:28,I reached out to him and he’s happy to help with it
77,2026-01-21 21:33,"Nice! My suggestion is to keep it very simple with a ""how to use it"" demo and setup instructions It's a complex tool and we're likely looking at multiple sessions to fully onboard"
77,2026-01-21 22:49,"one more option: *supporting skills for GasTown* we're gonna spin multiple agents acting without supervision and with that we'd rather have more guardrails in place we can have _implementing-backend_, _implementing-frontend_, _backend-testing-strategy_, _self-review_, etc to avoid derails being picked up by them"
184,2026-01-21 22:53,"Victor, are you familiar with Gastown? If so, would you like to run the session?"
77,2026-01-21 22:57,"not yet, i'll follow doc to setup but haven't had a chance just yet"
995,2026-01-22 14:02,Nice.. thanks
995,2026-01-22 18:26,do we need to catch up today or are we ok to with tomorrow's preso?
266,2026-01-22 18:34,"I think Luiz is not in this channel but sure, Luiz and I will sync to prepare it"
266,2026-01-22 18:35,"Feel free to join the meeting, we’ll probably use the existing one"
995,2026-01-22 18:50,"OK, I will cancel our sync.."
257,2026-01-22 19:29,"checking in for tomorrow's vibe coding sessions, where did we land on?"
266,2026-01-22 19:29,Luiz and I are in a sync right now planning tomorrow session part regarding GasTown.
257,2026-01-22 19:30,perfect. thank you both
266,2026-01-22 20:27,"This is our plan: 1. Context Use Cases - will cover what GasTown is and when to use it 2. Pros Cons - Honest assessment to help the team make informed decisions about adoption 3. Live Demo 4. Set up documentation - a. Here, we can let folks start playing with it on the call/session and help answer questions."
184,2026-01-27 17:48,"Can I cancel the vibe coding planning session today? • We have presenting Gastown @ this week • is also interested in going over some of the improvements to the claude marketplace plugin — could be next week (or this week, if there's time)"
257,2026-01-27 17:55,presented Gastown last week however we should meet briefly to talk through this today.
77,2026-01-27 18:25,thank you! i was under the impression Paulo was not presenting this week
276,2026-01-27 20:34,Vibe Coding Schedule <
184,2026-01-27 20:36,can you share the recording from the Gastown session?
184,2026-01-30 19:31,or — could either of you lead the vibe coding session today please?
942,2026-01-30 20:05,"yes, we tagged team on this"
942,2026-01-30 20:05,Plus did a great demo of `Vijaytown`
995,2026-01-30 20:06,"We wrapped up.. there was not much participation in terms of using GasTown, I made a call out to use these tools and give feedbacks.. may be next week, early we should send a reminder"
184,2026-02-03 21:45,Are you'll interested in a split session where we go over the async python use case ( will join us for this) and some temporal examples?
276,2026-02-03 22:56,"After catching up on Dowdell's session, it last left off with the takeaway that Temporal is being added into CW and that there was more to come by the end of Feb. As a follow up, I had claude ingest the Python asyncio docs to understand what asyncio let's us do and then with that understanding take a look at the `form_1099b` app in `carta-web` and `tax-forms-service` and identify potential cases for where we could leverage the library! Here is a transcript of that conversation along with the generated plan. TLDR: it was able to break down the plan into quick wins, high impact changes, and email/pdf batch processing improvements"
276,2026-02-03 22:57,Maybe a part of the exercise on friday is having the individual teams also come up with actual use cases with claude for their specific apps and we could start compiling them in a sheet similar to the knockout.js refactor
276,2026-02-03 23:34,convo with Dowdell for the above: <
257,2026-02-06 16:36,are we good for today?
184,2026-02-06 16:41,• [1st half] Paul is a yes • [2nd half] Aaron is a tentative yes. Confirming.
257,2026-02-06 16:48,cool. thank you
77,2026-02-10 20:04,hey team! wrapping up a PR for a release and will skip out vibe planning today -- can catch up later today
942,2026-02-10 21:48,Sorry was busy with tax season prep and had to skip today
184,2026-02-10 21:51,I think we’re cancelling this week's Vibe coding session cc
276,2026-02-17 20:52,"since we do have an immediate need for async/agno learnings and also in tune with what shared about mob programming, should we break out into groups for those who want to participate in hackathon and identify candidates where either async or agno would make a huge improvement to the user/staff experience?"
105,2026-02-17 21:00,"that's a great idea, maybe we do mob programming spec driven development and at least generate a bunch of markdown specs before the hackathon?"
77,2026-02-18 18:17,"i like the design exercise for Async and Agno, VJ!"
257,2026-02-18 22:32,Perfect. Thanks . Who is leading the session on friday?
276,2026-02-19 17:46,"Currently no volunteers, but do we need someone to lead? If we're breaking out into groups anyways, maybe someone can just intro what we're doing and we can all break out after intro. I don't have enough context about the hackathon so if one of the folks who attended the meeting where it was discussed can intro the session that'd be great!"
105,2026-02-19 17:50,"I can intro what we are doing, but I have to take off a bit early. I’m not aware of the hackathon details either but I think either way we can do some scoping and ideation during the meeting to come up with ideas."
77,2026-02-19 17:54,"i don't think hackathon details are out yet, we should not mention hackathon prep or anything like that"
276,2026-02-19 17:55,"Ahh so then maybe just a ""in prep of upcoming initiatives for adopting async and agno"" intro?"
77,2026-02-19 17:56,exactly! i'll spend some time today learning about Argo and diving deeper
257,2026-02-19 23:46,perfect. looks like we are ready for tomorrow then between and
77,2026-02-20 17:37,"Morning team, I have to pickup urgent results for immigration and we'll step away for a bit. I should be back for the session but there's a small chance I miss it or get in late."
105,2026-02-20 19:19,Some slides for today: <
995,2026-02-26 20:49,"For tomorrow, I asked my team to share some pain points they want to solve using vibe coding, gathering them < - please add any ideas this group might have"
995,2026-02-26 20:49,"My hope is, we can use this list and work on solving them in tomorrow's session"
105,2026-02-26 20:59,"Oh okay, are we still doing ‘s proposal to mob on the data science problem?"
995,2026-02-26 21:00,"Yes, that is the first one in the list.."
257,2026-03-02 20:33,details are here folks! - <
257,2026-03-03 19:01,", for this week, can anyone help lead this session. has put together these slides that we can potentially re-use - <"
257,2026-03-03 20:09,", we wanted to have someone present Agent teams for the MO vibe coding session on Friday. Would you be interested?"
276,2026-03-03 20:14,Yep definitely!
77,2026-03-03 22:03,that'd be amazing and have been experimenting and using it in the past weeks! can help if needed
941,2026-03-03 22:39,"I chatted with Kevin about approaches for the session and one good idea he had was to have people pair up and tackle the same task, one using agent teams and one using regular claude. It can be any task they're working on, from a bugfix to a code exploration to a hobby project to a complex feature. After folks play around with that in pairs or small groups, you spend 15 minutes discussing where agent teams can be helpful and where it's either overkill or just doesn't improve anything."
1627,2026-03-04 14:21,I can also help if needed
941,2026-03-06 17:06,"Fun thing I tried this week to play around with agent teams and make it a bit more clear to me about the difference between those and delegating subagents was I had an agent team spin up and have some agents play a game against each other (blackjack, guess who, etc)"
276,2026-03-06 17:12,"I was talking with Ruchita yesterday and said we should do fun non-work things for agent teams today. This is a great example, Scott you mind sharing this today?"
941,2026-03-06 17:59,"yeah, I'll do that and also a more advanced one I just tried out. Both of the examples I'm trying aren't really engineering related but can show off how the tool can do interesting stuff"
941,2026-03-06 18:59,"you want me to kick it off with some fun examples, then we can do the slides/install/troubleshoot, then folks can play around?"
276,2026-03-06 19:06,"actually i gotta drop during vibe coding for another anthropic meeting, would you be able to drive session today?"
941,2026-03-06 19:06,oh man calling an audible here buddy
941,2026-03-06 19:06,I can take point
941,2026-03-06 19:07,did you have anything you wanted to do here?
1627,2026-03-06 19:14,"Nothing significant, but the most powerful feature is teammates creating plans and having the team lead approving them. Not sure if anyone was going to cover that"
276,2026-03-06 19:16,"Ruchita had a good suggestion of ""what is something you do daily that could be automated away, try to use agent teams to do that"""
941,2026-03-06 19:16,"sure let's do this: • teaser with fun demos that aren't engineering related • slide deck • try and have everyone get it installed if they haven't / troubleshooting • you lead a real world example and folks can follow along • remaining time is asking folks to split into groups and have them try to solve it, with one person not using teams and the other using teams"
1627,2026-03-06 20:33,good presentation
941,2026-03-06 20:37,Thanks for hitting us with the knowledge!
276,2026-03-10 19:31,Ideas for agent teams
