u,t,m
130,2025-05-26 21:22,"Meus sentimentos, Tenho certeza que o Huguinho foi muito bem cuidado por vocês e foi um gatinho muito feliz. Sei como é a dor de perder nosso melhor amiguinho felino, mas espero que fique bem."
1321,2025-05-27 14:01,"Meus sentimentos, Noel você fez dele um gato mt amado, tenha certeza disso. Força pra você"
730,2025-05-28 14:43,Eu trabalhando e recebo isso...
159,2025-05-28 15:55,Eu só faço filho bonito
533,2025-05-28 16:45,Não aguento essas luvinhas!
375,2025-05-28 17:40,"Um alívio ver Gege sendo Gege de novo, depois de passar mal semana passada porque achou de bom tom comer grama, cogumelos de jardim e beber água de piscina, e dar um baita susto na gente"
1311,2025-05-28 17:42,Preciosaaaa
1321,2025-05-28 17:59,"Calma, Gege. Vc não é o Ventania não!"
1685,2025-05-29 12:33,"ela usa lápis de olho, amei ícone emo fashion hahahaha"
1311,2025-05-29 15:13,A barriga no buraco acaba comigo
159,2025-05-29 15:14,MEU DEUS A FOTO DO ANO
159,2025-05-29 15:14,NATIONAL GEOGRAPHIC
1321,2025-05-29 15:15,vontade de fazer plplplplplpl na barriga dele
533,2025-05-29 15:15,Simplesmente Perfeição!!!
91,2025-05-29 15:19,"""çocorros"""
1222,2025-05-29 15:27,Passaria meus dias chamando ele de Taubaté...........
1685,2025-05-29 15:30,gordinhooooo
76,2025-05-29 15:59,Nosso grávido de Taubaté
1686,2025-05-29 16:05,Coisa gostosaaa!
375,2025-05-29 18:52,cosplay de abacate
1321,2025-05-29 19:11,"Toda manhã, Fumaça fica esperando abrirmos a janela para ela sentir o ventinho e ficar respirando fundo. Virou o nosso ritual matutino."
1687,2025-05-29 20:04,"A Arya dormindo com a cabeça enfiada na barriga do Gandalf. Não julgo, faria o mesmo"
1098,2025-05-29 22:24,Uni pronto pra onda de frio
91,2025-05-30 15:35,Bem-vindos á época de tomar banho com frio porque gatos odeiam portas fechadas.
1222,2025-05-30 15:40,e não adianta fechar não
1119,2025-05-30 17:12,Caraca Marcia eu já avisei....
1687,2025-06-02 14:41,testadora oficial de caixas e cestos aqui de casa
1222,2025-06-02 14:43,"o espaço é confortável mas não fica apertadinho, dá pra enfiar as unhas na parede mas não faz barulho, o cheiro não é de caixa. não compraria de novo."
89,2025-06-02 14:44,MAS QUE BARRIGA DELICIOSA
730,2025-06-02 15:38,E essa patinha dobrada?
1685,2025-06-03 13:53,feijõeszinhos rosa
91,2025-06-03 16:27,Um charme from Gaia
533,2025-06-03 17:10,Os filhos de vcs também adoram bolinhas de papel?
1685,2025-06-04 20:21,"Salemzinha pegando um bronze! (papais e mamães de pretinhos , o de vcs brilha vermelho no sol tb? Hahha)"
1226,2025-06-04 21:22,Simmm. Eu digo que Merlot é morena iluminada
105,2025-06-05 23:09,Urias de olho em tudo…
1491,2025-06-06 15:14,"Oi gente, é com muito pesar e sofrimento que vou ter que doar uma das minhas gatas. Simone, 11 meses (completa 1 ano 4 de julho), fotos aqui embaixo, quem souber de alguém que está procurando uma gatinha, ou se alguém daqui quiser, me mande mensagem por favor. Ela é muito carinhosa, adora brincar, pede muito colo, não faz muita bagunça e dorme geralmente em cima de mim. Relato completo do que me aconteceu: Adotei Simone e Rebeca juntas, irmãs da mesma ninhada. Sempre foram muito grudadas e companheiras, brincavam muito juntas, faziam tudo juntas. Aleatoriamente, um dia na metade de abril, 2 dias antes de eu visitar o veterinário pra tirar os pontos da castração das duas, elas surtaram e brigaram feio, como se não se conhecessem mesmo, aqueles gritos de gato que parece que vem de filme, uma correndo atrás da outra, foi horrível. Depois dessa briga eu tentei de tudo pra reaproximação, mas como moro sozinha num apto pequeno, eu tive que separar as duas colocando a Rebeca no quarto (porque ela se sentiu mais segura la, e era onde buscava abrigo quando havia embate entre elas). Me consultei com 5 veterinários, incluindo uma comportamental que veio presencialmente aqui, mas ninguém conseguiu me ajudar. Mesmo depois de muitas tentativas, elas continuam brigando e a Simone não deixa a Rebeca pisar fora do quarto. Já fazem 2 meses disso e não consigo mais manter a Rebeca presa, com medo, sempre apavorada. Então infelizmente vou precisar doar a Simone pra adoção Se souberem de alguém, por favor me digam, quanto antes melhor, obrigada"
477,2025-06-06 15:16,"Que triste, Bruna.. Sinto muito que tenha chegado nesse ponto."
533,2025-06-06 15:21,"Sinto muito Bruna, vc foi incansável e fez de um tudo para que as coisas melhorassem. Espero que a Simone encontre um lar que a receba com muito amor."
159,2025-06-06 15:25,"Sinto muito Bruna não é uma decisão fácil, mas vai ser melhor para ambas"
89,2025-06-06 15:29,"Ai amiga, sinto muito"
1119,2025-06-06 18:52,Os brindes da Petlove estão cada vez melhores
1119,2025-06-06 19:08,Ain que dó... eu queria só não pego pq tenho 2 ciumentos aqui
159,2025-06-06 20:03,Eu amo carinho na orelha
730,2025-06-13 15:26,Alguém sabe que planta é essa?
89,2025-06-13 15:35,_feliniflora domesticata_
1687,2025-06-16 16:39,Acordou e não recomenda
2161,2025-06-16 16:53,Uma paz terrível por aqui
76,2025-06-16 17:22,Uma paz terrível HAHAHAHAHAHA ri muito disso
375,2025-06-16 18:15,Dormir na caminha cara Dormir no pé de alface
286,2025-06-16 20:25,Gege = parente do Tarjane
533,2025-06-16 20:31,Minha dose diária de Vitamina D!
1226,2025-06-16 20:48,"E eu que to viajando e toda vez que vou abrir a porta do Airbnb penso em tomar cuidado pra minha filha não fugir. But she’s not here Mães de pet _sofrem_ nas férias - ok, to exagerando, a palavra não é bem essa. Mas vocês entenderam"
533,2025-06-16 20:58,"Nossa, sofremos muito Thay! Logo, logo vc mata as saudades, enqto isso aproveita!"
76,2025-06-17 01:06,"As vezes vc tá lá, fazendo turismo no lugar mais lindo do mundo e aí o pensamento simplesmente vem: ""Será que meus gatos tão bem?"""
375,2025-06-17 13:24,"Sim, cara, vc não tá sozinha. A Geleia mora com meus pais então não rola tanto isso, mas quando eu preciso ficar uns dias fora, eu vejo minha pet dog em tudo que é lugar"
76,2025-06-18 14:55,Impossibilitado de trabalhar pq ela quer dormir no meu braço
76,2025-06-18 15:09,Me segura pq eu vou arrumar uma briga com essa gatinha ela é muito fofa não ta certo isso
375,2025-06-18 15:59,autorizado a tirar o dia
1110,2025-06-18 20:28,sonin da tarde
1491,2025-06-18 20:32,QUERO ELES PRA MIM
1685,2025-06-18 20:46,eles abraçadinhosss
1685,2025-06-18 20:49,Trabalhando com mamain
533,2025-06-18 22:22,Veja a paz desse lugar rsrrrsrsrs
1687,2025-06-20 19:28,"Quando você tá sozinho com um casal de amigos, eles começam a se pegar na sua frente e você não sabe o que fazer além de ficar parado"
1686,2025-06-20 20:06,Ai gente e esses gritando e soltando fogos?? Joquinha ficou apavorado aqui.
130,2025-06-20 21:03,"Sobre os fogos, sou totalmente contra, mas eu sou flamenguista. Peço desculpas em nome do restante da nação rubro-negra."
1222,2025-06-20 21:16,Meus gatos nao ligam pra fogos mas minha gata fica nervosa com as pessoas gritando nas janelas
130,2025-06-20 21:18,"É osso mesmo, até eu me assusto com meus vizinhos companheiros de torcida kkkkkkkkkkk"
159,2025-06-20 21:29,"Romeu, tá tudo bem?"
1003,2025-06-20 21:34,"É o limbo entre o feriado e o final de semana, né, amiga"
76,2025-06-20 21:56,"o mano tá tendo uma crise existencial, normal"
159,2025-06-20 21:59,Apenas um ser adulto vivendo no capitalismo passando pela sua time line
533,2025-06-20 22:00,rethinking his life’s decisions
76,2025-06-20 22:00,HAHAHAHAHA just a boy in late capitalism
533,2025-06-23 17:57,Brincando até cansar!
1685,2025-06-24 18:36,Shakira não aprovou a virada do tempo carioca
1311,2025-06-24 18:41,Somos todos Shakira
130,2025-06-24 19:05,O nome! Eu amei! HAHAHA
957,2025-06-25 16:16,"Boa tarde gateiros, com meu laranjinha dando língua pra vcs"
1003,2025-06-25 16:17,Eu to mto presa no nome
