u,t,m
1624,2025-04-16 19:35,"they are having DNS issues, that explains the slow web page loads"
261,2025-04-16 19:35,"*Zoom Partial Outage* Zoom's < status page> is now showing a Partial Outage. If you have meetings and need a workaround, we suggest using the Slack Huddle feature for internal and Google Meet for external. We will share additional details and/or when the outage is resolved."
15,2025-04-16 19:36,"Hi I was trying to navigate to create a google meet, but couldn't find the right place - could you assist with navigating? Didn't look like it would let me create a new meeting, opposed to finding an existing invite"
1855,2025-04-16 19:36,"it did end up working for the last meeting i had, just had to attempt to join like 7 times though"
9,2025-04-16 19:39,Trying to set up a google meet for an external meeting but it says I don't have access
1801,2025-04-16 19:45,It is showing that we do not have access to Google Meet as an approved app
261,2025-04-16 19:46,"Sorry correction, due to legal reasons we have google meets configured to only accept and join external meetings via invite, but not create them. I'm getting confirmation on this, please standby"
261,2025-04-16 20:09,Update: we've temporarily enabled the full google meet and you should be able to create meetings now!
261,2025-04-16 20:59,Update: Zoom has implemented a fix and service should be restored to normal
261,2025-04-17 22:40,"*Update: Zoom Outage Retaining Google Meet* Hi everyone, a few important things we want you to be aware of following yesterday's global Zoom outage: • In response to yesterday's multi-hour Zoom outage and after internal review, we enabled Google Meet as a backup video conferencing solution. We have decided to make this change permanent and retain Google Meet as a back up for video conferencing in the event of future Zoom outages. • In accordance with making this change, yesterday, we set Google Meet to be the default option for events in Google Calendar. The team will revert Zoom back to being the default auto selected video conferencing option in Google Calendar later today and it might take some time for the change to propagate across the organization so we appreciate your patience. In the meantime, if you would like to schedule an event with a Zoom Meeting, you can do so by selecting Zoom in the drop down menu under the video conferencing option on the event creation page as shown in the screenshot below. • Moving forward Zoom will continue to be our default video conferencing application but Google Meet will continue to be available as an option in the drop down menu upon new event creation in Google Calendar. Questions? Please reach out in"
976,2025-04-18 00:01,<!subteam^S05AV93PCV6|@core-smb-aes> <!subteam^S0217989T4M|@core_new_mm_ae> <!subteam^S07HMV2K4CC|@core_llc_sales>
1524,2025-04-22 17:15,"Hey team! We're excited to share the < Executive Equity Report>, a new insights publication covering types of equity, grant sizes, vesting schedules, and performance conditions for grants issued to management teams and execs at PE-backed companies Wanted to thank everyone who made this possible, especially , , , , and ! Help us spread the word! We'll also be covering the findings in a Carta webinar on 5/1, so you can share < registration link> with relevant audiences"
460,2025-04-22 18:37,Really exciting report! Thank you for the hard work that went into it. I already brought it up with a PE lawyer today and find this gives us really good ammo. Thank you so much for creating this and helping us with our mission Congrats!
1045,2025-04-24 21:30,Awesome job !
129,2025-05-02 17:46,"Happy Friday, everyone! Mother’s Day (U.S.) is right around the corner. We're putting together a special social media tribute and would love for YOU to be a part of it. Pick your adventure: *Option 1: Share memorable career advice from your mom + a photo of you two (throwback pics welcome!)* *Option 2: Share advice you’ve given (or plan to give) your kid(s) + a photo of you together* This is your chance to spotlight the amazing moms and mentors in our lives—and show off some adorable family pics while you’re at it. Deadline: *EOD Wednesday, May 7, 2025* Submission form: < Let’s make this a memorable one!"
129,2025-05-09 23:19,"Happy Friday! Shout out to everyone who submitted for the Mother's Day social posts. We've posted on LinkedIn and TikTok so far. *We'll do a 2nd post on TikTok and an Instagram post on Sunday as well so keep an eye out for those.* In the meantime, click through and give some to these posts featuring some phenomenal Cartans with some next-level mom advice. < <"
1872,2025-05-21 19:49,"Reposting from last year. Happy Memorial Day Week everyone! “_We must dare to be great; and we must realize that greatness is the fruit of toil and sacrifice and high courage_.”- _Theodore Roosevelt_ Amongst a weekend full of parades, barbecues, and gatherings of all kinds, it is important to take a moment and reflect on what the Memorial Day holiday represents. We honor the Veterans in our lives every November and often during the year at various events. However, this holiday is meant to be a tribute to those service members and patriots that are no longer with us today because of their drive to preserve the freedoms that we have become so accustomed to, leading to their ultimate sacrifice. My hope is that all of us can take a moment during this long weekend in remembrance for fallen heroes and the sacrifices it takes to preserve our way of life. Not only does it take bravery to rush into the face of danger for the sake of the greater good, but it also takes an even greater amount of selfless love. Love for family, country, fellow troops, and future generations. This is the love that I hope we can all resonate with, remember, and celebrate. _“There is no greater love than to lay down one’s life for one’s friends.” John 15:13_ On behalf of the Veteran’s ERG, we hope you enjoy your time with your loved ones and have a wonderful and safe holiday weekend!"
626,2025-06-04 14:24,Hi and team - circling back here as I noticed that Google Meet remains the default setting and sometimes when we use Mixmax to book meetings the link for the Google Meet supersedes our Zoom Preferences. Is this something that is going to be changed soon? Thanks in advance!
261,2025-06-04 15:59,"Hi if Google Meet remains the default setting in google cal, you likely need to clear cache and site settings and sign back in. In regards to Mixmax, please confirm the zoom integration is active under your account and also check some of the other settings highlighted on this page: <"
1524,2025-06-09 16:09,"A belated Eid Mubarak from the Muslims@Carta employee resource group (ERG)! P.S. If you'd like to join the community, please join our Slack channel !"
129,2025-06-11 22:50,"Hi, everyone! Father’s Day (U.S.) is right around the corner. We're putting together a special social media tribute and would love for you to be a part of it. Pick your adventure: *Option 1: Share memorable career advice from your dad + a photo of you two (throwback pics welcome!)* *Option 2: Share advice you’ve given (or plan to give) your kid(s) + a photo of you together* This is your chance to spotlight the amazing dads and mentors in our lives—and show off some adorable family pics while you’re at it. Deadline: *10am PT Friday, June 13, 2025* Submission form: < I can't wait to see your submissions!"
1417,2025-06-12 17:58,"Hi Cartans, *Heads up*: Access to *Guru will end on Tuesday, June 17 at 5 PM PST*. We’ve reserved an extra day as a buffer to cross-check everything before the contract officially expires. After June 17, you’ll no longer be able to access or search Guru content, and Guru results will no longer appear in Glean. Most essential content has already been migrated to Google Drive and is now fully searchable in Glean — your new go-to tool for finding knowledge across platforms like Drive, Slack, Jira, and more. If you have any questions, feel free to slack . Thanks!"
299,2025-06-12 19:12,"*IT Alert: Multiple major outages -* *What’s happening?* As of 12:05pm PT, we learned that several SaaS products are currently experiencing outages connected to Google Cloud being down. *Do not disconnect from WARP, as you will not be able to reconnect!* *What’s impacted?* • < • < • < • < • < • < Cloud> • < • < (Copilot, Actions) • This will be updated as more services announce their disruption *What we’re doing about it:* • We're actively monitoring the situation. You can follow along on < status post. (Please do not submit a ticket to #it-helpdesk since we are already actively working on a resolution.) • We'll share updates in this thread as we get more information and/or to confirm when the issue is resolved."
1873,2025-06-24 16:47,"Hi U.S. Cartans - a reminder that *bi-weekly payroll goes live Tuesday July 1st.* A Pyn was sent yesterday (June 23rd) with details and resources on the transition, please review and submit a Jira ticket if you need any assistance."
1085,2025-06-27 18:36,"*Lunch Snack Survey* ACTION REQUESTED Hello Everyone! If you’re an in-office Cartan, please take a moment to read the following! Thank you to everyone who’s already responded to our latest survey. We’d love to get more responses so we can continue to curate a snack and catering program that serves you and reflects each office’s tastes and culture. We’re always looking for ways to improve, and we’d love to hear your thoughts. *And here’s a little extra incentive*: rumor has it, those who participate might find their office in the running for a tasty surprise. Let’s just say, there could be bragging rights—and maybe even a little something to savor—for those who make their voices heard. Will your office lead the pack? *We’ve extended the deadline to July 4.* As always, your responses are anonymous, and we appreciate your honest feedback. < can find the survey here! > Thanks in advance for your participation!"
1065,2025-07-01 16:50,"Hi Cartans - Gentle reminder following up from the June 12 Pyn message Carta’s whistleblower platform is now *Speakfully*, available resources include. • *< Reporting Policy>* • *< overview>* If further clarification is needed on the use and features, please reach out to your HRBP and/or <mailto:employeerelations@carta.com|Employee Relations>"
228,2025-07-01 22:49,"Hey Cartans - have you ever wanted to be a better public speaker? You're in luck. Come hang for 45 minutes on July 18th at 1pm PT and learn about: • Tactical tips for onstage (or on Zoom) presentations • Speaking games that will improve your daily conversation • Tons of resources to uplevel your speaking on your own time Speak better, live happy React to this post with an emoji to be added to the Zoom invite (*don't use the parrot, too many ppl used the parrot*)— and share with other Cartans!"
228,2025-07-01 22:54,"In case I missed adding you to the invite - here's the zoom link that will go live at 1pm PT, July 18: <"
339,2025-07-01 23:15,any chance this could be recorded for those of us on mto that day?
228,2025-07-01 23:16,"No chance yes, will definitely record it!"
253,2025-07-02 14:04,This is fantastic! Thanks I'm looking forward to it.
575,2025-07-02 14:16,What a great initiative!! To learn from the best in the biz presenter extraordinaire!!
705,2025-07-02 14:26,So excited for this!
242,2025-07-02 15:22,Peter’s own toastmasters!!!!
257,2025-07-07 04:30,wow! I cant wait for this.
1201,2025-07-07 15:35,Thank you for this initiative! Great skill to improve!
129,2025-07-08 13:30,"Our favorite month of the year is in full swing — it's Work From ~Anywhere~ July! Whether you’re working beachside with your kiddos for their summer break, logging in from your back porch, cozied up with your doggo in a mountain cabin, or just treating yourself to tasty pastries at your hometown café — we want to see it all! The Social Media and Employer Brand teams are putting together a fun feature for Carta Socials to celebrate you and your globe-trotting adventures or quality family time that WFH allows you to experience. Interested in getting involved? Fill out < form>. Details below. *Option 1: Show us your unique view* (low lift - just one photo!) Snap a photo of your laptop open (make sure no customer info is visible!) with a scenic background + a local snack, treat, or non-alcoholic drink in the frame (bonus points for creativity ); and tell us where in the world you are. _**see attached for a little inspo_ *Option 2: Give us more details.* Send us: - Additional photo(s) showcasing how you're spending your WFH July ""off hours"" — time with family, trying new restaurants, hiking trails, hammock-napping... you name it! - A short blurb sharing: What you love about WFH July How you’re spending it (your photos will help paint the picture!)"
254,2025-07-08 17:43,"If I'll be in different places on different weeks in July, should I just submit the form multiple times?"
129,2025-07-08 18:36,"yes, or wait until you reach your final location and submit everything (or your favorite spots) at once"
257,2025-07-08 20:35,"*Hey Cartans,* *Exciting Prep Series for the upcoming Hackathon: n8n Fundamentals, Setup, and Basic Integrations!* and I are thrilled to invite you to an upcoming session that promises to add a powerful tool to your hackathon toolkit! Come explore *n8n, a versatile workflow automation* *platform* that you can use to streamline processes and enhance efficiency in your projects. Whether you're a beginner or looking to expand your skills, this session will offer hands-on insights to take your work to the next level. *Why Join Us?* • Harness n8n's Potential: By mastering its intuitive interface and core features, you'll be equipped to tackle projects more efficiently. • Spark Innovation: Get fresh ideas on designing solutions that can make a real impact in your role at Carta. • Enhance Your Skills: Learn about essential workflow components and practical integrations to elevate your projects. *Session Highlights:* • Introduction to n8n and its features • Key concepts and a step-by-step look at the interface • Hands-on with workflow essentials: nodes, triggers, actions • Practical applications with popular integrations like Slack and Jira *Next steps:* • Details to follow for training sessions scheduled for July 11th, 18th and 25th. This isn't just an opportunity to learn—it's a chance to collaborate, innovate, and transform your approach to project development. We hope to see you there, ready to dive into the possibilities of n8n. Don't miss out! Please feel free to ask any questions in Looking forward to an engaging session with all of you! cc:"
102,2025-07-09 04:07,Super excited for this! In case we can't make it because of the time zone - will these sessions be recorded?
257,2025-07-09 04:43,Yes definitely. We will share the recordings in channel
186,2025-07-09 17:57,"Hey Cartans, happy Wednesday! *Thank you for joining us during ST! Also wanted to share here that our Q3 2025 Hackathon is happening soon, between July 28 - July 31.* Come join us in our channel, where we'll share all announcements, session recordings, ideas, comments, and so much more! Please see below a quick summary of everything that's happening (more events coming your way soon) and check out our deck < for the full info: *Q3 2025 HACKATHON EVENTS* 1. *N8N fundamentals, setup and basic integrations |* _Friday, July 11 @ 12pm PST / 3pm EST / 4pm RIO (1 hr)_ 2. *Building Carta-specific examples using N8N AI agents |* _Friday, July 18 @ 12PM PST/ 3PM EST / 4PM RIO (1 hr)_ 3. *N8N office hours |* _Friday, July 25 @ 12PM PST/ 3PM EST / 4PM RIO (1 hr)_ 4. *< pitch session (sign-up sheet)>* | _Monday, July 28 @ 12PM PST / 3PM EST / 4PM RIO (1 hr)_ 5. *Hackathon dates |* _Tuesday, July 29 - Wednesday, July 30_ 6. *Hackathon live demos |* _Thursday, July 31 @ 9AM PST / 12PM EST / 1PM RIO (2 hrs)_ a. Please keep presentations to 3 minutes each! Don't forget to accept all your calendar invites and join us! All sessions will be recorded and shared in our channel. Thank you all!"
186,2025-07-11 18:30,"*First N8N session starting in 30 mins: N8N Fundamentals, Setup Basic Integrations* _Friday, July 11 @ 12pm PST / 3pm EST / 4pm RIO (1 hr)._ *Hey Cartans - don't forget to join our first n8n session happening in 30 mins!* n8n is a brand new tool that will be deployed just in time for our hackathon, which allows users to design and run an AI agent in their browser, give it access to a vast array of tools/context, and hand work off between agents in a seemless manner. It's ground-breaking! *Brief agenda for our session:* 1. Intro to learning sessions and n8n a. Core concepts b. Interface basics 2. Dive into workflow building elements a. Nodes b. Triggers c. Actions d. Conditional logic e. Error handling f. Slack/Jira integrations g. Using fake data After this session, our participants will be able to understand n8n’s interface, core components, and get inspired on experiences they could be designing relevant to their Carta role! The session will be recorded and shared in our channel and this for viz. Thank you all!"
257,2025-07-11 18:41,Looking forward to seeing you all later today!
186,2025-07-11 23:00,Hey team! Sharing our recording < as promised (Passcode: fb9T%Kt5). Thank you all!
184,2025-07-15 17:33,"*N8N Session 2 — Geared towards ALL Cartans* _Today, 12pm PST / 3pm EST / 4pm RIO (1 hr)_ *Hey Cartans, please come join us for the N8N training session happening in ~1.5 hours!* Today's session (led by ) will be less technical than the first one and be geared towards ALL Cartans. This session provides an early glimpse, so you can start brainstorming its potential uses for your hackathon idea. As a recap, N8N is a tool that simplifies building custom automations without requiring coding knowledge. Imagine it as a series of cause-and-effect actions with intuitive flowcharts called ""Workflows,"" comparable to tools like Zapier, but _empowered with AI integration_. *Brief Agenda for our session:* • Overview of the canvas • Overview of triggers • Simple Trigger and Slack Message • A more complicated flow (if/switch logic) • Subworkflows • AI Agent: As before, the session will be recorded and shared in our channel and this for viz. Thank you all!"
186,2025-07-16 13:23,Hey team! Please find the recording below: • < • Passcode: BeSYkx^2 Thank you all!
129,2025-07-18 17:00,We've had some GREAT laptop pics come through from WFH July! There's still time to submit. Send yours via < form> and you just may see it on Carta Socials
184,2025-07-18 17:51,"*N8N Session 3 — Carta-specific examples using N8N* _Today, 12pm PST / 3pm EST / 4pm RIO (1 hr)_ *Today's N8N training session is happening in ~1 hour* and will be led by who has an action-packed agenda for us. *Agenda for today's session* _(time permitting)_ 1. Watch a pre-built agentic sales workflow funnel (featuring Gmail, AI classifier, AI agent, Google Sheets, Slack). 2. Help Mark fix a workflow (audience participation) 3. Build a new workflow together (audience participation) To get the most out of it, please < up your n8n environment> in advance and be ready to participate (Mark might call on the audience) As before, the session will also be recorded and shared in our channel and this for viz. Thank you all!"
186,2025-07-18 21:45,"Hey team, happy Friday! Sharing the recording below: • < here> • Passcode: P+7DA#!. Ty all!"
228,2025-07-21 23:02,"Thanks everyone for attending this workshop on improving your public speaking skills! Hopefully you took away some actionable tips and more importantly a little reframing on the concept of public speaking vs bettering your general conversation. Link to the deck and to the recording available here: < Keep talking, friends"
184,2025-07-22 18:00,"*[N8N Session 4] — Automate workflows for those without a coding background* _Today, 12pm PST / 3pm EST / 4pm RIO (1 hr)_ *Today's session is happening in ~1 hour* and will be led by from the ARS Delivery team *Agenda* 1. Slack and Google sheet integrations 2. Other n8n nodes to help you structure data 3. Touch on using an AI Agent to automate the task _(time permitting)_ Previous session recordings can be found in < doc> for shared on the channel. Thank you all!"
184,2025-07-22 19:02,We're working with IT to get the zoom link fixed. Appreciate the patience
184,2025-07-22 19:05,Fixed. Here's the zoom link: <
129,2025-07-23 17:01,"There's still time to *< your photos from WFH July>* Whether you’re working beachside with your kiddos for their summer break, logging in from your back porch, cozied up with your doggo in a mountain cabin, or just treating yourself to tasty pastries at your hometown café — we want to see it all! We're hoping to get more submissions for *Option 2* - Photo(s) showcasing how you're spending your WFH July ""off hours"" — time with family, trying new restaurants, hiking trails, hammock-napping... you name it! - A short blurb sharing: *What you love about WFH July* *How you’re spending it (your photos will help paint the picture!)* *Submit < ICYMI, we're showing off our views from WFH July this week (check out our posts on < < and <"
231,2025-07-23 18:42,DJ post coming up!
186,2025-07-28 16:15,"*Q3 2025 HACKATHON PITCH SESSIONS* _Today @ 12pm PST | 3pm EST | 4pm RIO_ Our Hackathon Week is officially underway!!! Please come join us during the pitch sessions today to learn more about the cool ideas teams are working on, connect with people to join/form a team, and get everyone excited about what you'll build! • We still have plenty of slots open in today's agenda - sign up < in tab 1 if you'd like to present. Please keep presentations to ~3min to give everyone time to present (some seconds of grace will be allowed if needed). Check the recording of the pitch session < Thank you all!"
1874,2025-07-29 21:56,NEW NDA Glean Card! We just updated our Carta Legal NDA Process Glean Card < Please take the time to review and share with others on your team. Questions? Reach out to Legal in and .
186,2025-07-29 22:19,"Hey team, happy hacking! *HACKATHON LIVE DEMOS SIGN-UPS* Thursday, July 31st @ 9am PST | 12pm EST | 1pm RIO So far we have *18 teams* who have signed up for our live demos happening on Thursday, and we still have plenty of room!!! • If you'd like to sign up, please add your _project title, description, lead presenter_ and _team members_ in tab 2 (*`(Jul 31) Step 2: Team Sign-Up Sheet for live demos`*) of our < We'll reach out internally to confirm your slot! • Don't forget to join us in to discuss anything hackathon related, troubleshoot any issues you might have, connect with new teammates, and so much more! • *Edit for viz: please keep all presentations to ~3 min so everyone has time to present!* We look forward to seeing you during the live demos, ty all!"
129,2025-08-01 19:24,Y'all went above and beyond submitting photos for our WFH July content Thank you to everyone who participated! Check out today's posts on < and < - a fun recap of your July adventures. Can't wait to see everyone again next week!
246,2025-08-05 15:29,Great to see everyone had a wonderful WFH July!!! And even better to see everyone back in the office today! Although some of us look like we did during the pandemic...
1052,2025-08-06 16:53,"*HELP CARTA GET TO SXSW 2026!* Public voting is *OPEN* for our SXSW proposal: *“Who Owns What: The State of Startups Top Trends to Watch”* Voting closes: *Sunday, August 24th at 11:59pm PT* *How to Vote* (It’s EASY!)*:* Go to our session link:< >*< here!>* Click the heart next to “Who Owns What” Sign in—or sign up if it’s your first time _If signing up, remember to confirm your email!_ Can’t find us? Search: _Who Owns What: The State of Startups Top Trends to Watch_ or click *< here!>* Click the heart again to submit your vote! *Why this matters:* Community voting = 30% of SXSW’s decision Questions or need help? Ping Let’s make some noise for !"
469,2025-08-06 17:25,"*U.S. Role Conversion* US Cartans, Thank you to everyone who joined today’s Show Tell session! Here’s a quick recap of what we covered regarding the upcoming U.S. role conversion updates. You’ll find the deck linked below and available in the < drive>. *What’s Changing:* Some U.S.-based Cartans will be converted from Exempt to Non-Exempt, to better reflect how the work is structured and tracked. Most Cartans will remain Exempt. *Key Dates:* • Employees will be notified if they are converting to Non-Exempt via Pyn on *August 8, 2025* • Non-Exempt employees will begin tracking time using Workday Web Clock starting *September 1, 2025* *Resources:* • < Tell - Aug 8, 2025: U.S. Non-Exempt Role Conversion> • < Non-Exempt Cartans> We’ll continue to provide more resources, guidance, and training between now and go-live to make this transition clear and smooth across your teams. As always, the People team is here to support you through every step of the rollout."
228,2025-08-06 20:36,"Pretty cool deep dive with on Molly O'Shea's Sourcery pod - all about the past, present future of Carta. Retweet widely <"
186,2025-08-06 21:25,"*Q3 2025 HACKATHON WINNERS* *Hey team, happy Wednesday! Please join us in celebrating our < 2025 Hackathon winners>*! *First hackathon ever with a first-place tie - what an event!* *First Place Winner: Carta Defragmentation (tie)* _Portfolio Fragmentation is a major issue at Carta and the underlying cause of many customer complaints. This is a tool that can try to identify fragmentation and suggest fixes._ *Team members: * ** --------------------------------------------------------------------------------------------------------------- *First Place Winner: Fin8ncialsAI (tie)* _Manual extraction of financials at Carta is slow, error-prone, and bottlenecks analyst productivity due to inconsistent formats across companies. We’ll solve this by using LLM to automatically extract, standardize, and validate financial data from any statement—no more tedious manual mapping._ *Team members: * ** ** ** ** ** ** ** --------------------------------------------------------------------------------------------------------------- *Second Place Winner: PE Waterfalls - Canoe Code Generator* _Extracting waterfall breakpoints from operating agreements via LLMs, and combining that with internal Canoe documentation to build a code generator!_ *Team members: * ** ** --------------------------------------------------------------------------------------------------------------- *Third Place Winner: Test Automation with Magni MCP* _Helping engineers navigate test automation frameworks in Magni! By leveraging LLMs and creating an MCP, we aim to provide a low effort version of test automation at Carta that allows developers to automate tests faster, with way less effort, empowering any team to have a better structured quality coverage._ *Team members: * ** --------------------------------------------------------------------------------------------------------------- *Raffle Winner: GTM Calendar / Attendee Reco* _Aggregating disparately managed calendar sheets into a single view! It enables querying against calendars via LLM through a Slackbot for i) invite recommendations based on key accounts and ii) auto-generated event descriptions and invite copies._ *Team members: * ** --------------------------------------------------------------------------------------------------------------- Special thanks to and everyone else in our amazing team! Your wise advice, passion, enthusiasm and support made all of this possible! Thanks to everyone who participated and to all of our Carta team! Looking forward to our next hackathon coming up soon - stay tuned!"
469,2025-08-08 18:44,"*U.S. Role Conversion Update* As of today, we’ve finished notifying all U.S. employees in roles that are being converted to non-exempt status. If you *did not* receive a Pyn message about a conversion change, your role is remaining exempt and no action is required on your part. Managers of non-exempt employees have also been notified. Managers and employees will receive additional training between now and September 1st. If you have any questions, please feel free to reach out to your HRBP or the < Helpdesk>. TY!"
1065,2025-08-25 19:06,"*Friendly**Reminder - Annual Harassment Prevention Refresher Training launches on Sept 2nd* All Cartans will receive additional notification via slack and email, there is a 60 days requirement to complete this training."
222,2025-08-28 15:25,Does anyone have an iTrustCapital IRA account or any other recommendations for a crypto IRA?
14,2025-08-28 15:46,Huge congratulations to our for winning the < championships> in the rough and tumble Jersey IM Softball league
253,2025-08-28 15:49,congrats on the season team! those jerseys are -- where can i order one? I'd wear those in my ultimate frisbee league.
986,2025-08-28 15:53,The SF Softball team needs those jersey's!!
72,2025-08-28 15:54,Are those New Jerseys?
72,2025-08-28 15:54,"Ok, i know the exit, congrats!"
93,2025-08-28 16:02,this feels symbolic of how far the FA business has come...
1423,2025-08-28 16:04,its been a few years in the making!
93,2025-08-28 16:07,which audit firms are still in the league? will have to flag it in her monthly check ins
1423,2025-08-28 16:20,We handed Withum a 19-12 Loss in semifinals
125,2025-08-29 15:56,Amazing job and team!! S glad it got moved to Monday!
419,2025-08-31 16:00,This is awesome!
258,2025-09-02 21:37,Does anyone have a referral/invite code for < browser?> The Design team is exploring various patterns for AI integration and we’d love to see how other tools are doing it.
285,2025-09-02 21:52,I'll send you one!
258,2025-09-02 21:58,Resolved - thanks to for hooking me up!
211,2025-09-03 15:12,As far as I can tell this is a not an approved vendor I'll dm you
285,2025-09-03 15:22,Not something i use on my work laptop but a personal one
211,2025-09-04 15:03,Hi Everyone! Happy Thursday! *Please be advised that the Slack/Zip API is not working. You can still manage your pending tasks directly in Zip by....* 1. *Clicking the hyperlink in the Slack/Zip bot notification* (see screenshot) 2. *OR via your < Home Page>* We will be in touch once we have more details on a resolution. Please connect with your procurement partner or if you have any questions!!
211,2025-09-04 20:53,The Slack/Zip bot is up and running again! You can now approve/reject via the Slackbot!
259,2025-09-05 02:22,"_Relevant_: < is buying The Browser Company>, the creators of Dia."
290,2025-09-16 16:52,"*Cloudflare WARP Egress Policy Change* Today we will be altering our Cloudflare WARP egress policies so that your computer's traffic will be routed through whichever of our egress IPs is located closest to you. This is being done to enable greater network performance, especially for staff outside of the United States. These changes _should not result in any change or visible effect on your part_, but if you experience any issues with WARP, please let us know in !"
547,2025-09-17 16:17,"Hi This process won't work for certain teams like Treasury and other functional teams that use a common NYC based IP address to avoid bank blocks and lockouts. We previously worked with to to lock IP address locations based on specific cost centers. However, perhaps that information hasn't been universally communicated. Can we sync to discuss this further? cc: <"
295,2025-09-17 16:20,"Thanks , we'll take a look."
547,2025-09-17 16:20,"If we need to sync further, happy to schedule time"
21,2025-09-17 16:23,Yes mine showed up as San Jose yesterday
764,2025-09-17 16:23,We are working on it
764,2025-09-17 16:29,"It should be working with previous state for fund admin teams, just need to toggle off and on, it will reflect proper IP address"
547,2025-09-17 16:31,can we check if this is working as expected across the teams? < should say NYC
1602,2025-09-17 16:45,NYC for me
295,2025-09-17 16:51,for posterity: anyone who is part of `Zero-Trust-FullTunnel-Group` should now be routing through New York (primary) and San Jose (secondary) again
547,2025-09-17 16:52,Thank you!
547,2025-09-17 16:52,Are those being auto added to as new people join those cost centers?
547,2025-09-17 16:52,Or do we need to validate that list
764,2025-09-17 16:54,"Yes, that's correct. Anyone part 30-506 cost center will be part of `Zero-Trust-FullTunnel-Group` by default and auto added"
295,2025-09-17 16:54,"```String.stringContains(user. secondEmail,""< or String.stringContains(user.supplier,""Infinit-O"") or String.stringContains(user.costCenter,""30-855"") or String.stringContains(user.costCenter,""40-835"") or String.stringContains(user.costCenter,""30-410"") or String.stringContains(user.costCenter,""30-179"") or String.stringContains(user.costCenter,""30-153"") or String.stringContains(user.costCenter,""30-196"") or String.stringContains(user.costCenter,""30-170"") or String.stringContains(user.costCenter,""30-173"") or String.stringContains(user.costCenter,""30-197"") or String.stringContains(user.costCenter,""30-198"") or String.stringContains(user.costCenter,""30-151"") or String.stringContains(user.costCenter,""30-506"") or String.stringContains(user.costCenter,""30-175"") or String.stringContains(user.costCenter,""30-180"") or String.stringContains(user.costCenter,""30-181"") or String.stringContains(user.costCenter,""30-182"") or String.stringContains(user.costCenter,""30-183"") or String.stringContains(user.costCenter,""30-831"") and user.onboarded==""true""```"
4,2025-09-18 13:09,"If a Manila team member does not have NYC listed, what are the steps we can take to fix it?"
21,2025-09-18 14:12,Following that all the cost centers in your script above are added to NY and will have their teams auto added? It's not just the 30-506?
764,2025-09-18 15:41,"If a Manila team member does not have NYC listed, what are the steps we can take to fix it? They can try to toggle off and on Cloudflare WARP app, that should get them to prior working state. all the cost centers in your script above are added to NY and will have their teams auto added? It's not just the 30-506? Yes, all these cost center are part of getting the NY IP which includes the Manilla team (Infinit-O) and additional cost centers like sister teams who also need static NY IP for their work."
