u,t,m
234,2025-01-24 17:07,"Hi folks - there are no plans to expose the field types to end users. I think we could have an upper limit on both of these if it is needed, but I'd rather not. If there is a large enough character and # field limit then I think it would be okay. As an aside, this custom field talk makes me think perhaps we should meet or async talk about scoping down the first release. Custom fields will be wanted by folks, but they are not required for Athena. do you want to entertain scoping certain things out or should we just push on?"
558,2025-01-25 02:11,"Sorry getting to this thread super late, I'm to entertain de-scoping."
570,2025-01-27 16:32,", we talked in the office about corp needing to reduce their page size due to large vesting schedules, could that be an option for LLC as well?"
930,2025-01-27 16:35,"We can use smaller page sizes, yes. Would be curious to see numbers on: • p50, p90, p100 for number of interests per issuer • p50, p90, p100 for number of vesting events per interest"
570,2025-01-27 16:53,I can work on getting you those numbers
930,2025-01-27 17:13,"I think we could have an upper limit on both of these if it is needed, but I'd rather not. If there is a large enough character and # field limit then I think it would be okay. It's probably wise to introduce an upper limit on these things, even if it's very large. Giving users an ability to create an unbounded number of things is generally not advisable. On the API design side, • it's beneficial to give API consumers a rough idea of what to expect when consuming an endpoint so they can plan for how to handle incoming data • it's more difficult on our side to deal with unbounded lists of things, especially when those lists are nested within an outer list, like this case where we'll be returning a list of `Interest` objects with sub-lists within. I do like 's suggestion to simply leave out the `custom_fields` attribute."
570,2025-01-27 17:49,Since the initial Ask from Athena and the other customer doesn't include customFields I'm good with leaving it out and restarting this discussion if/when its specifically asked for
234,2025-01-27 17:52,Yes works for me. Lets descope custom fields
570,2025-02-03 21:22,Can LLC Interest Holder Addresses conform to < in `public-api-protobuf-registry` . cc:
570,2025-02-03 21:23,Hi Team ! One of the suggestions for the Interest API was to check if LLCs Interest Holder Address can conform to < in `public-api-protobuf-registry`. In llc-core there was < following comment> under `InterestHolderAddress` : The country and subdivision validations currently not feasible due to existing data that does not conform to any standard; especially not ISO_3166-2. That links to < - Interest Issuer Country and State should be in ISO format>
570,2025-02-03 21:23,< shows that the country on Interest Holder Addresses might conform to ISO_3166-2 except for one 'USa' that I saw from initial inspection. For subdivisions it looks like we don't conform to ISO_3166-2.
570,2025-02-03 21:24,Dev Eco encountered a similar challenge with the address-service. This thread aims to explore how they were able to overcome it and successfully move forward.
558,2025-02-04 07:18,"If it's a small number of non-conforming fields, it might not be too hard to do a data migration and add validations to prevent future occurrences."
930,2025-02-04 13:42,"Ya, my thoughts on this: • We should plug the leaky bucket causing the bad data. This means likely means updating the FE and BE paths that modify this data • We should investigate doing a data migration to change data into desired formats If we can't improve this path and data, then we won't be able to unify the LLC interest holders into our existing `Stakeholder` messages. This would cause inconsistencies among our securities endpoints and some usability wrinkles for end users."
570,2025-02-04 14:55,I'm working on checking the number of records we might need to update in order to comply to the ISO standard and as I mentioned my initial passthrough of `subdivision` on Interest Holder Addresses in metabase shows that we *do not conform to any standard* for that field and so it might not be possible to migrate those to ISO_3166-2 even if its possible to migrate the `country` .
570,2025-02-04 15:22,"Countries in the Interest Holder Address db: Country Length. potential ISO standard # of Records 22. 2 ISO 3166 -2 2120 94 3 ISO 3166-1 alpha-3 49,809 Subdivision Length(sub) # of Records 122 2 49,139 579. !=2 2,789. (These would need to be switched to the ISO 3166-2 country codes Both are only considering Interest Holder Address that are not deleted. The above is just the length of the country/subdivision in the database as I wasn't able to use `REGEXP` or LIKE with a regular expression in the SQL Query."
570,2025-02-04 16:13,"< with Regex> on the Interest Holder Address Table: Country: Only 16/116 countries in conform to the `ISO_3166-2` we would need to update at least 49,808 active Addresses + deleted ones (173,026). Subdivision: ~0~ 107/702 subdivisions conform to `ISO_3166-2` so ~all the~ some of the records subdivisions would need to be updated."
570,2025-02-04 16:14,How important is it for LLC Interest Holder to match with Corp Stakeholder for the first version of the API ?
930,2025-02-04 16:27,I think it's important. The whole goal of this strategy was to fit LLC into the existing surface area where it makes sense.
930,2025-02-04 16:28,"I can't see any of the Metabase queries right now because I am still waiting for an access request, but I do wonder what it would look like to update the data"
575,2025-02-04 16:38,Given we already have a ticket for this scope of work lets work on getting an estimate of what we think the effort will be. I think its a worthwhile improvement to our own domain and this is a good reason to tackle it now.
570,2025-02-04 16:46,"Yes, I agree. I already started looking into Tylers point : investigate doing a data migration to change data into desired formats and can also take at the effort needed for We should plug the leaky bucket causing the bad data. This means likely means updating the FE and BE paths that modify this data"
570,2025-02-04 16:48,"We might need to have some discussions on what to do with the data that can't be migrated to ISO standards because for subdivision I have seen records like `-` , `Need to Update` etc"
930,2025-02-04 16:51,Is country subdivision something that *must* be set? Is that why people are putting garbage?
570,2025-02-04 17:31,It is required when the users try to add an interest holder via our UI (see image attached subdivision is state) but on the < obj it is OPTIONAL>
930,2025-02-04 17:48,"Is the decision to make it required in the UI a product decision, a legal decision, or something else?"
575,2025-02-04 17:50,"It's required for US addresses but not all countries. We use the address service to populate a lot of the information, I'm not sure what requirements they have though"
930,2025-02-04 17:57,Do you know _why_ it's required? What's the consequence of someone having their country as `US` and their subdivision as `None` or `-` ?
570,2025-02-04 18:03,"From the UI, _Canadian_ addresses also require a ""Province"" that is used as the subdivision. Maybe can help with why the FE designs have these requirements."
575,2025-02-04 18:09,"We're using the autocomplete address form provided by the identity team: < I suspect that is the main reason the FE requires them. Taking a quick look and the BE doesn't use the subdivision for any business logic, it's only used for queries, that could still be for legal requirements though."
570,2025-02-04 18:49,"Yes, on the BE `subdivision` is optional. For `country` when we set up the address autocomplete app we might have chosen `alpha3` instead of `alpha2` that is required by Public API. That is why we have *USA* instead of *US* The subdivisions that don't conform to the standard could have been entered by staff users using the llc-staff tool that we have to bulk create interest holders."
930,2025-02-04 18:53,"Going from `alpha3` to `alpha2` is straight-forward. I am more interested in what the requirements are for gathering addresses, and the likelihood that we can do a data migration from what we have to a more strict definition. For example, if we tried to migrate and found an address that was `None, USA`, then what do we do? Is it okay to clear out the `None` value and have no subdivision?"
234,2025-02-04 19:00,can I have you answer this? I don't recall this exactly and believe you'd have context. Maybe can help with why the FE designs have these requirements.
568,2025-02-04 19:02,"sorry, hopping between 3 threads. gimme a few minutes to catch up…"
568,2025-02-04 19:38,"I haven't yet developed fluency in `.proto` syntax, so dumb question: which fields are currently required? Some context around the current address implementation: < One problem we're facing in AA is that our customers often _do not want_ to provide full addresses: they wish to add just enough information for tax or or scenario modelling reasons. You'll notice a lot of junk `['.', '-', ' ']` characters in the DB to get around the current restrictions"
930,2025-02-04 20:34,"Okay, I am super silly and didn't realize until now that we don't actually expose the `Address` proto message through the < message> we have, so this whole thread was based on something that we don't have to worry about when it comes to integrating interest holders into our existing API surface area"
930,2025-02-04 20:36,"...But, there is still validity to having the conversation of plugging the leaky bucket that is interest holder addresses"
568,2025-02-04 20:38,"i was going to say that in the LLC context, holder addresses should be as lenient as possible because they're often not used for sending mail"
930,2025-02-04 20:39,Both the add interest holder and the draft interest workflows force users to enter something.
568,2025-02-04 20:39,"right, we'd rather remove the validation than enforce it"
930,2025-02-04 20:40,"Might be more nuanced than that: allow for no/partial addresses, but validate the information that you can."
570,2025-02-04 20:43,For LLCs Interest API we still want to expose the *Interest Holder's Country* as that is information that is valuable to Athena and potentially other LLC Customers which is what started the discussion. Athena's use case is to use the Country to perform currency conversions which LLC does not support.
570,2025-02-04 20:49,So we would have to add `Address` to Stakeholders message for stakeholder to work for LLC and if that means using the existing Address proto then we need to perform this migration. So it is still important to figure out what to do in the case that we have an Address with a country that requires a subdivision but there is no valid subdivision present in the record.
930,2025-02-04 20:51,Is this actually a hard requirement from Athena or can we pushback on this and get them to source this data from elsewhere?
570,2025-02-04 20:54,`Country` was _specifically_ mentioned for their first use case. But open to asking them if they can get it from somewhere else can we ask Hope to convey this in the next email to them ?
568,2025-02-04 20:56,"what to do in the case that we have an Address with a country that requires a subdivision but there is no valid subdivision present in the record i'm curious how you would know this: from what i recall, ISO 3166-2 is not a legal requirement"
570,2025-02-04 20:58,"The Example I was referring to is when its `country: USA, subdivision: None` or `country: USA, subdivision: Ignore`"
568,2025-02-04 21:01,"can you catch me up tomorrow? the point i'm trying to convey is that the address fields in our DB are probably not conformant with Athena's definition of `Address`, and i'm not convinced a data migration should be in scope of this work"
568,2025-02-04 21:05,it might be more accurate to think of these as structured custom fields than a data model to be used for feature enablement like currency conversion
570,2025-02-04 21:38,yes I can catch u up tomorrow and for now your suggestion is instead of returning it on the Interest Holder we could consider just having Country on the interest directly ?
568,2025-02-04 22:30,"i don't have much opinion on where it lives, but enforcing `holder_address` to follow an international standard like `ISO 20022` , `ISO 3166`, etc. is not recommended. to require that that a *country* code, if it exists, conforms to `ISO 3166-1 alpha-2` to require that a *subdivision* code, if it exists, conforms to `ISO 3166-2` for _well-defined_ countries like US, Canada, UK i've left ambiguity on ""well-defined"" because i don't know all the countries where subdivision is both well-defined and in actual use. Many countries have an ISO subdivision code but is not used in day-to-day operations. If it's not worth enumerating then i'd remove it from the schema and your project scope"
930,2025-02-05 14:08,"Good point with the comment on subdivisions - we're probably too strict in the API Platform already with this, so we shouldn't perpetuate any potential issues. In general, I think we should be using the `address-service` for address validation in most cases, and should just defer to its structure. It uses Google's Places API, which returns different address components. The top-level subdivision under a country is listed by them as `administrative_area_level_1` and < docs >have this to say: • `administrative_area_level_1` indicates a first-order civil entity below the country level. Within the United States, these administrative levels are states. Not all nations exhibit these administrative levels. In most cases, administrative_area_level_1 short names will closely match ISO 3166-2 subdivisions and other widely circulated lists; however this is not guaranteed as our geocoding results are based on a variety of signals and location data."
930,2025-02-05 14:16,"Here's my summary of this thread, so far: 1. We seem to be in agreement that we should fix the leaky bucket that allows users, both Carta staff and external, to enter bad addresses for interest holders ◦ Two main flows that I know of are adding interest holder workflow and creating draft interests workflow 2. We seem to be in agreement that we should consider a data migration for, at the very least, interest holder countries so they conform to the ISO 3166-2 alpha-2, or similar, standard 3. We have a few options for dealing with Athena's requirement of having interest holder country a. Add a field to the `Stakeholder` message type and populate it b. Add a field to the `Interest` message type and populate it c. Don't add this anywhere For 3., I am of the opinion that c) is our best option, a) second best, and b) worst. I think b) is the worst because the information we are talking about is _not_ directly part of the interest object and adding it there feels out-of-place and like something we are doing purely for Athena but counter to more generalized intents for the endpoint."
570,2025-02-05 14:46,Thanks for the summary Tyler. For point 1 there is just one more existing flow - an llc staff tool to create interest holders in bulk. Point 2 sounds reasonable to me and we can leave out `subdivision` under Address until there is need for it by multiple customers. For point 3 I agree with the ordering of the options presented. Since we've told Athena our response will include `Country` in our last email and is it okay to reach out to them again and ask if they can get this information from their records? (follow up on <
568,2025-02-05 16:04,"it's been a long time, so beware that changes to country code format _may_ require a frontend update. Digging out some 2022 PRs, it looks like we've tried to align with `address-service` before and it was a huge pain < the `AddressAutocomplete` FE component looks to return alpha3 country codes and i remember there needs to be an alpha2 alpha3 translation somewhere between `llc-core - llc-ui - AddressAutocomplete - address-service - google maps API` chain. < calls < ```{""details"":{""address"":{""addressLine1"":""3327 Connecticut Avenue Northwest"",""city"":""Washington"",""subdivision"":""District of Columbia"",""postalCode"":""20008"",""country"":""United States"",""countryCode"":""USA"",""subdivisionCode"":""DC""}}}```"
568,2025-02-05 16:14,"it feels like you're caught between a rock and a hard place because there's a desire to design a strictly-defined API schema but the underlying data is loosely-defined. It may be loosely-defined by design, but many of the folks who worked on holder addresses are no longer at Carta Maybe to help orient: 1. what is the main user problem that we are solving? 2. how many customers do we have to solve for in this first release? 3. what is the timeline for delivering?"
930,2025-02-05 16:16,"If we can get Athena to agree that they can get this data sourced from elsewhere, then we don't have to do anything else here"
570,2025-02-05 16:29,Questions about the Interest Holder to Stakeholder mapping for `relationship` cc:
570,2025-02-05 16:29,"The stakeholder endpoint only returns the following fields: ```{ ""id"": ""4902"", ""issuerId"": ""7"", ""fullName"": ""Emily Wilson"", ""email"": ""<mailto:emily@esharesinc.com|emily@esharesinc.com>"", ""employeeId"": ""1213511"", ""relationship"": ""STAKEHOLDER_RELATIONSHIP_EMPLOYEE"" }``` A Stakeholders relationship IIUC is their relation to the corporation (The example Stakeholder is an EMPLOYEE of the Corp) In LLC our Interest Holders can *be* any of the following: ```INDIVIDUAL, CORPORATION, LIMITED_LIABILITY_CORPORATION, ESTATE_OR_TRUST, PARTNERSHIP, DISREGARDED_ENTITY, UNKNOWN,``` and this _relationship_ is described as the entityType of that interest holder. This thread is to understand what is the most appropriate ""relationship"" that should show up for LLC Interest Holders when they come under Stakeholders? Questions: 1. `relationship` was added after the < Design Proposal>. Is this field _*optional*_ and so we could omit it? 2. If we have to include a relationship then should this be something like `LLC_INTEREST_HOLDER` for all our Interest Holders regardless of entity type? a. With Option 2 if LLC customers in the future require the entityType can we include that in the stakeholder response as another field? 3. The way this field is used should we have relationship use our entity types in the following manner `INTEREST_HOLDER_INDIVIDUAL`, `INTEREST_HOLDER_LIMITED_LIABILITY_CORPORATION`, `INTEREST_HOLDER_ESTATE_OR_TRUST` and so on?"
575,2025-02-05 16:40,"Relationship is a much more well defined concept in corp than in LLC. I don't think entityType is a good mapping for it. Entity type describes the legal structure of the entity rather than how they relate to the issuer. LLC's closest concept is holder ""groups"", but these are not always a 1:1 mapping with relationships (though in some cases they are). Groups are customizable by the issuers and are mostly used for cap table views and waterfalls as far as I know. There is also no indication on the LLC side that creating a ""group"" means you are defining a relationship to the issuer. You're more defining a relationship with the other members of the group. This may be another one that we need to punt on, I don't think the concepts match up well."
570,2025-02-05 21:32,Tylers Response: Question 1: (same as above) Question 2 was: 2. There are a few other fields on the LLC Interest Holder like `groupLabel` `entityType` and if we needed to return these fields for the customer would it be 'okay' to add them to Stakeholder ? (for E.g. `groupLabel` might not make sense for Stakeholders but since customers use it in LLC to view their Cap Table they might request for this field to be in our response down the line) <
570,2025-02-05 21:36,My opinion here is since `relationship` is not required and as long as we are able to support including any future LLC Interest Holder fields that customers might request in Stakeholder's response (top or sub level messages) we can go ahead with Stakeholder.
234,2025-02-05 21:37,"Yes we will need to have holder group in the response. I'm okay if this falls out of R1, but it will need to be built for shortly after"
234,2025-02-05 21:37,Or we will need to have line of sight to it when a customer inevitable asks for it
575,2025-02-06 16:03,"Given that we've run into a couple scenarios already where interest holders and stakeholders don't map to each other easily, I wanted to dig a little more into the possibility of have distinct representations/APIs for each concept. Could you explain some more about the concerns you mentioned < This would cause inconsistencies among our securities endpoints and some usability wrinkles for end users."
930,2025-02-06 19:00,"Our stated goal is to integrate LLCs into the existing API Platform as closely as we can so users don't have to navigate between endpoints that are specific to S-corps and LLCs. We want to reduce the cognitive load of our API consumers. An example of what I would like to minimize is: 1. User lists all issuers with `ListIssuers` endpoint, which returns LLCs and S-corps 2. User needs conditional logic to decide which additional endpoints they need to hit based on the type of issuer from step 1. Some of 2 will *have* to exist, given there are differences between these issuer types, but, where possible, I would like to unify concepts to ease the burden on the consumer."
575,2025-02-06 20:29,"Yep agreed. I think what I'm trying to determine is where we're comfortable introducing that conditional logic. From the couple examples we've seen the conditional logic can live in either 1. the determination of which API to hit or 2. in the determination of which data a single API returns to the user (null/non existent fields for specific issuer types, etc). Taking the stakeholder example, my (maybe naive) understanding of how a user would interact with the API is: 1. A user queries for their list of issuers 2. The user chooses an issuer and queries for the list of stakeholders or 1. A user queries for their list of issuers 2. The user chooses an issuer and queries for the securities for that issuer 3. The user chooses a security and queries for information about the stakeholder of that security In the second use case, for LLC interests, the conditional logic would have been applied in step 2 to use the right API to get securities. After that point, theoretically they shouldn't need to ""branch"" again, they know they are on the LLC path. It feels like we're indexing on the first use case, I'd like to understand what heuristic we're using to make that decision"
930,2025-02-06 21:01,"It's really just: 1. Do we have a thing already that roughly aligns with the LLC-related thing we're trying to expose? a. If yes, proceed to 2 b. If no, we are building a new thing (e.g., interests) 2. Is it reasonably easy to fit the LLC-related thing into the existing thing with which it roughly aligns? a. If yes, try to fit it in b. If no, we are building a new thing For the work to fit LLC into the API Platform, we have discussed the following resources so far: • LLCs ◦ Currently categorized as 2a and trying to fit into `Issuer` (this is still on me to PoC) • Interests ◦ This is 1b • Interest Holder ◦ Trying to categorize as 2a and fit into `Stakeholder`"
558,2025-02-07 00:52,when do we stop trying to categorize interest holders as 2a and move to 2b? The work involved doesn't seem trivial and would add some sprints of work between now and delivery of the API to Athena. What might we need to make this decision?
930,2025-02-07 13:56,"It's a good question and I think we need to assess on a case-by-base basis at the moment; although enough of these cases will warrant broader discussions about whether the idea to fit LLC into the existing surface area continues to make sense If we're < specifically on interest holder being fit into> the `Stakeholder` resource, then I think we should proceed with adding the group label and entity types fields, perhaps in a container message of some sort, but not necessarily. , when you said the work involved doesn't seem trivial, were you speaking about dealing with the interest holder or something else?"
570,2025-02-07 14:55,"Will was speaking about the Interest Holder. I worked on this < ISO_3166 for Address country and subdivision/state> to get an idea of the work it would take to clean / plug bad `Address` data in LLC so it could come under Stakeholder. Stakeholder addresses must meet strict mailing standards, whereas LLC Interest Holder addresses do not as they are rarely used for mailing. To comply with ISO_3166-2 standard would require over 2.5 sprints (5 weeks) of development work with 1 developer on the project, delaying the API delivery timeline. If we separate LLC Interest Holders we can leverage string values for country and subdivision and stay on track to release the alpha version of the API by 28/2."
930,2025-02-07 14:56,Do we know if we need country to be returned for Athena yet?
930,2025-02-07 14:58,"whereas LLC Interest Holder addresses do not as they are rarely used for mailing. This doesn't seem like a good justification for taking in bad data, but I'm not going to sit here and tell you all that you should fix this. If we _must_ provide the country back with the stakeholder information, then I say we create a more relaxed address message and return what we have, as ugly as it may be"
570,2025-02-07 15:32,"We reached out to Athena yesterday, and I'll update you as soon as we hear back."
570,2025-02-07 15:57,"we create a more relaxed address message and return what we have, as ugly as it may be If we can go this route then the alignment on Address can be resolved. There are still the other fields for which you mentioned I think we should proceed with adding the group label and entity types fields, perhaps in a container message of some sort, but not necessarily. could you please provide some more details on this approach ?"
930,2025-02-07 16:13,Here you go: <
570,2025-02-07 16:26,"Thanks for the example, Tyler! Previously, we discussed LLC-specific sub-messages, but this approach is different—the required fields are at the top level of the Stakeholder Message proto which makes sense to me. I thought it would look like : ```{ ""id"": ""4902"", ""issuerId"": ""7"", ""fullName"": ""Emily Wilson"", ""email"": ""<mailto:emily@esharesinc.com|emily@esharesinc.com>"", ""employeeId"": ""1213511"", ""relationship"": ""STAKEHOLDER_RELATIONSHIP_EMPLOYEE"" ""llcInfo"": { ""groupLabel"": ""Board Member"", ""entityType"": ""INDIVIDUAL"", ""TaxId"": {}, ""numOfInterests"": 24 } }``` Which again shows the differences between these issuer types to the user"
930,2025-02-07 16:48,"Right, I don't know if that's really necessary"
930,2025-02-07 16:49,Aside: I doubt we will ever return tax IDs in the API. It's extremely sensitive data that we have purposefully _not_ included everywhere else in the API Platform
570,2025-02-07 16:56,I included the Tax IDs for completeness this hasn't been requested by a customer and we will not be returning it.
570,2025-02-07 18:26,Thanks for answering our questions and clearing up our concerns . I've updated the < Interest API - API Platform Design Proposal> to use Stakeholder instead of Interest Holder.
570,2025-02-10 21:00,Is there an LLC endpoint that just returns the LLCs a given user can access? Input would be `x-carta-userId`
570,2025-02-10 21:02,I was able to find `/llc/v2/issuing-entities` but that still requires an LLC Account Id. There is also `/llc/v1/holdings/issuers` but I'm not entirely sure what the holdings APIs were built for.
234,2025-02-10 21:17,I am not sure on the endpoint but I would look for the API that powers the `LLC accounts` section of the account switcher UI
234,2025-02-10 21:17,This will only show the account names someone has access to if they are not a staff user
570,2025-02-10 21:18,Thank you Mica ! Gonna look into what that calls
570,2025-02-10 21:26,Was able to find '< but still investigating
575,2025-02-10 21:33,I believe we use < to populate that list of accounts
570,2025-02-10 21:47,The link above that Sean sent is the one you're looking for
570,2025-02-11 16:27,Does having a lastModifiedDate make sense for LLCs Interest API cc:
570,2025-02-11 16:27,"On the Design Document another question came up: Would we be able to include a `lastModifiedDate` field in the `Interest` message, and would we be able to add a query filter that allows users to filter by last modified date? To Chet's point, what we see from consumers is that they do a one-time sync for the data, and then run period re-syncing to get updates. Without a `lastModifiedDate` filter, consumers are forced to ""sync the world"" and sort out what has changed on the client side. If we give the `lastModifiedDate` query filter, then we can greatly reduce the volume of information they have to process. This query parameter should likely be mutually exclusive of the `asOfDateTime` query parameter because I imagine it would be hard for us to return results such as: ""Give me interests as of Jan 1, 2023 with last modified date (as of that time) on Nov 1, 2024."" From the existing < we get the quantities from the `INTEREST_QUANTITY_BY_DATE` table using the given `asOfDate` and checking if its within the `INTEREST_QUANTITY_BY_DATE.EFFECTIVE_DATE_RANGE` . Since we require the `asOfDate` to populate the quantities I don't see how this can be mutually exclusive. I just wanted to ask if this is a use case we should be considering and if you could give me more context as to how we would come up with the quantities in that event."
575,2025-02-11 16:50,"Hmm, yeah using last modified is a bit awkward. ""As of"" dates are definitely required once you get into llc-core but I suppose you could make the argument that if we default the as of date to `now` and include ""last modified time"" in the query it would work. I think I would be more concerned about the usability from a user perspective, those 2 parameters sound very similar and could be easily confused"
575,2025-02-11 16:52,"So I think they can be considered ""mutually exclusive"" from the user's perspective, but from llc's perspective if we have a ""last modified time"" filter we just default to using ""now"""
575,2025-02-11 17:32,"Actually was just thinking about it some more and using last modified might get us into some weird edge cases based on how we query for interests. Say for example today is 1/1. We issued an interest with 100 units effective 1/1. We query the API and get back that interest - that's all good. Now we create a new transaction, maybe a repurchase, effective 2/1. We query the API using today's as of date (1/1) and the last modified time is the time when we did our first query. The `interest quantity by date` table would have been updated to reflect the fact that the new date range for our issuance event is from 1/1 to 2/1 - this constitutes an ""update"". But in reality, as of 1/1 nothing has changed and we would have sent back the same object. This could potentially cause some confusion"
570,2025-02-11 18:01,"if we have a ""last modified time"" filter we just default to using ""now"" So if we go this route we would return something like ""Invalid Input"" when the user enters both `lastModified` and `asOfDate`"
570,2025-02-11 18:21,"Another thing is that if we default the asOfDate to `now` in the general scenario of syncing data at a later date wouldn't we almost always returning new data to the user. Using your example: On 1/1. We issue an interest with 100 units effective 1/1. We query the API and get back that interest. Now we create a new transaction, maybe a repurchase, effective 2/1. The next day 2/1. We query the API for modified records with the last modified time as the time when we did our first query and *llc-core defaults the asOfDate to (2/1)*. Here because we default to a new asOfDate we are returning quantities once a day has passed and the `lastModified` parameter doesn't make sense."
570,2025-02-11 18:26,Another thing to consider is the `INTEREST_QUANTITY_BY_DATE` table does not have a last_modified_at / updated field on it. Audrey was able to help me understand that this table is populated by a cron job `InterestQuantityByDateBackfillQuartzJob` which clears the previous records for the interests. That was also why I asked if there was any more information on how we would come up with the quantities for an asOfDate when given a LastModifiedDate.
575,2025-02-11 18:35,"Ah, yeah it doesn't have update/modified time because the rows are intended to be immutable, it does have a `created` timestamp though which we could use."
570,2025-02-11 18:59,"Yes, we can check that `lastModified created` for this table. We could be returning all interests anyway if this job is run frequently (once a day). I don't know how its scheduled"
575,2025-02-11 19:08,Oh yeah that job doesn't run on any cadence. It was used to backfill for existing schedulers and used quartz as a way to decouple the long running process. The interest quantity by date table is updated when interests have transactions on them
570,2025-02-11 19:20,"The interest quantity by date table is updated when interests have transactions on them Thanks, that clear up my confusion around using `created`"
570,2025-02-11 19:37,Wanted to know your thoughts about the possible confusion with the results when we default the asOfDate to `now` and are given a `modifiedDate` (the example that I sent above)
575,2025-02-11 20:08,"Yeah I agree it'll be confusing. We'll have 2 moving inputs which is hard to reconcile. But I will say, that would also be true for the corp endpoints I think, maybe people just aren't concerned with it?"
570,2025-02-11 20:59,I've asked Tyler on the design document if corp also defaults to `now` for the asOfDate. I feel like there might be some weird edge case if we only return modified interests but the asOfDate is different.
570,2025-02-12 20:46,"Hi , Could you please give me some more context the difference between applying one off vesting schedules to and interest vs using the vesting plan templates? It will help with the discussion on what the vesting start date should be."
568,2025-02-12 22:54,"ok so it's pretty weird! example: < 1. issue with an existing template 2. navigate to the interest details page 3. navigate to `Vesting` tab 4. click `Correct vesting plan` 5. update tranches it looks like when we do this, `vestingTemplateName: null`"
570,2025-02-14 17:18,Thanks for the context Perry !
570,2025-02-14 17:27,"Hi Team, There were some concerns about the `VestingSchedule` proto message for `name` and `startDate` because of the ability to make a one-off correction to a vesting plan associated with an interest. To clear thing up there, in the event that we make a correction to the vesting plan associated with an interest: • We do not have to worry about the `start_date` as we get this information < the Interest Snapshot>. • `name` - `vestingTemplateName: null` but the way the Interest Ledger export handles is by returning `{interestLable}'s vesting plan` in its place. So we can go with either option. cc:"
568,2025-02-14 17:50,Should we also include vesting end date and/or info on performance conditions?
570,2025-02-14 18:18,Thinking about the use case we want to support for the v1 version of this API we won't include vesting end dates or the performance conditions now. That can be added in later if there are more customer requests to return those values.
570,2025-02-14 20:35,"Hi Team, On the Design Document for the Interest API Response we have 4 dates `issue_date`, `stakeholder_acceptance_date`, `as_of_date`, `vesting_start_date` of type *Iso8601CompleteCalendarDateTime* and wanted to discuss returning *Iso8601CompleteCalendarDate* instead. cc:"
570,2025-02-14 20:37,"< states the following: Our updated guidelines for managing date and time, applicable to both backend and frontend, focus on three crucial principles: • Adopt the strictest format: Utilize the *_least precise_ possible* form that allows us to convey the information we have at any point in time . *Avoid assuming or creating time components, offsets, or timezones.* Since this is a Read API we shouldn't persist the problem by returning times and return Date where it makes sense."
570,2025-02-14 20:38,"What this will look like for the fields: • User inputs the `asOfDate` - we follow the ADR suggestion to convert the date to the start of day in the account timezone. • For `issue_date` and `vesting_state_date` the user uses the UI dropdown to select them and doesn't specify a time or timezone (this is something we add). For these fields we should push to *return Date* type. • I would like to push for the `stakeholder_acceptance_date` to also be returned as *Date*. However, in < the example of returning an _audit_ record states that the contract with llc-ui is to return an OffsetDateTime. What makes most sense for our customers in this case ? Should this parameter be `stakeholder_acceptance_datetime` instead?"
